,System,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
GO:0044403,Digestive,GO:0044403,biological process involved in symbiotic interaction,8/84,322/18870,9.321225842605481e-05,0.003847217961343603,0.0028387802513612976,APOE/AXL/DPP4/GAPDH/ICAM1/ITGB1/MRC1/NRP1,8,,
GO:0007160,Digestive,GO:0007160,cell-matrix adhesion,7/84,239/18870,9.471664631777e-05,0.003847217961343603,0.0028387802513612976,ACTN1/FGL1/ITGB1/NRP1/THBS1/VCAM1/VCL,7,,
GO:0048588,Digestive,GO:0048588,developmental cell growth,7/84,239/18870,9.471664631777e-05,0.003847217961343603,0.0028387802513612976,APOE/CDH1/ITGB1/NRP1/OLFM1/SPP1/VCL,7,,
GO:0060326,Digestive,GO:0060326,cell chemotaxis,8/84,325/18870,9.939776044729038e-05,0.003965260657843692,0.002925881444745428,C5/DPP4/LBP/MMP2/NRP1/SAA1/THBS1/VCAM1,8,,
GO:0060560,Digestive,GO:0060560,developmental growth involved in morphogenesis,7/84,244/18870,0.00010775171948777389,0.004223111251503278,0.0031161439098403307,APOE/CDH1/ITGB1/NRP1/OLFM1/SPP1/VCL,7,,
GO:0150105,Digestive,GO:0150105,protein localization to cell-cell junction,3/84,22/18870,0.0001232749470390553,0.004748210891124992,0.003503603757952098,CDH5/FLNA/VCL,3,,
GO:0061387,Digestive,GO:0061387,regulation of extent of cell growth,5/84,109/18870,0.00012596253972310353,0.004769496843074802,0.003519310208856024,APOE/CDH1/NRP1/OLFM1/SPP1,5,,
GO:0042116,Digestive,GO:0042116,macrophage activation,5/84,110/18870,0.0001315030963932601,0.004896298622375717,0.00361287454301483,C1QA/CD93/FCGR3A/LBP/THBS1,5,,
GO:1905954,Digestive,GO:1905954,positive regulation of lipid localization,5/84,111/18870,0.0001372285184610239,0.004980115635019443,0.003674721332724142,ADIPOQ/APOB/APOE/PLTP/SPP1,5,,
GO:0097305,Digestive,GO:0097305,response to alcohol,7/84,254/18870,0.00013821269891280458,0.004980115635019443,0.003674721332724142,ADIPOQ/CD14/CDH1/H6PD/IGFBP7/SOD2/VCAM1,7,,
GO:0019216,Digestive,GO:0019216,regulation of lipid metabolic process,8/84,342/18870,0.00014123540376413565,0.005008252254112366,0.0036954827451067076,ADIPOQ/APOB/APOE/GOLM1/H6PD/HNF4A/IGFBP7/SERPINA3,8,,
GO:0070482,Digestive,GO:0070482,response to oxygen levels,8/84,343/18870,0.00014409083758360573,0.0050296707994027376,0.003711287033814582,ADIPOQ/DPP4/ENO1/MMP2/SOD2/THBS1/VASN/VCAM1,8,,
GO:1990138,Digestive,GO:1990138,neuron projection extension,6/84,179/18870,0.00014759352600345537,0.00507267595525722,0.0037430196230188034,APOE/CDH1/ITGB1/NRP1/OLFM1/VCL,6,,
GO:0034113,Digestive,GO:0034113,heterotypic cell-cell adhesion,4/84,61/18870,0.00015717131018217,0.005240607566372653,0.003866932784686225,ADIPOQ/DSG2/ITGB1/VCAM1,4,,
GO:1905517,Digestive,GO:1905517,macrophage migration,4/84,61/18870,0.00015717131018217,0.005240607566372653,0.003866932784686225,C5/MMP2/SAA1/THBS1,4,,
GO:0005996,Digestive,GO:0005996,monosaccharide metabolic process,7/84,261/18870,0.00016343317697285357,0.005369260549372866,0.003961863082654624,ADIPOQ/ENO1/GAPDH/GOT1/GSTO1/H6PD/PKM,7,,
GO:0007409,Digestive,GO:0007409,axonogenesis,9/84,448/18870,0.00016847377506117717,0.005454643673719852,0.004024865472857414,APOE/B4GALT5/CDH1/ITGB1/NRP1/OLFM1/ROBO4/SPP1/VCL,9,,
GO:0045766,Digestive,GO:0045766,positive regulation of angiogenesis,6/84,185/18870,0.00017659848978133312,0.005556634171429552,0.0041001220904013005,CDH5/ITGB1/LRG1/NRP1/PKM/THBS1,6,,
GO:1904018,Digestive,GO:1904018,positive regulation of vasculature development,6/84,185/18870,0.00017659848978133312,0.005556634171429552,0.0041001220904013005,CDH5/ITGB1/LRG1/NRP1/PKM/THBS1,6,,
GO:0032640,Digestive,GO:0032640,tumor necrosis factor production,6/84,186/18870,0.0001818422422276555,0.00556487081009017,0.004106199730764363,ADIPOQ/AXL/CD14/FCGR3A/LBP/THBS1,6,,
GO:0032680,Digestive,GO:0032680,regulation of tumor necrosis factor production,6/84,186/18870,0.0001818422422276555,0.00556487081009017,0.004106199730764363,ADIPOQ/AXL/CD14/FCGR3A/LBP/THBS1,6,,
GO:0001885,Digestive,GO:0001885,endothelial cell development,4/84,64/18870,0.00018943184607945478,0.005718793839750027,0.004219776258327542,CDH5/ICAM1/ROBO4/VCL,4,,
GO:0044000,Digestive,GO:0044000,movement in host,6/84,188/18870,0.00019269886771897766,0.005739856939789281,0.004235318271549741,AXL/DPP4/ICAM1/ITGB1/MRC1/NRP1,6,,
GO:0071706,Digestive,GO:0071706,tumor necrosis factor superfamily cytokine production,6/84,191/18870,0.00020993753631983112,0.00609091501478575,0.004494356553340472,ADIPOQ/AXL/CD14/FCGR3A/LBP/THBS1,6,,
GO:1903555,Digestive,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,6/84,191/18870,0.00020993753631983112,0.00609091501478575,0.004494356553340472,ADIPOQ/AXL/CD14/FCGR3A/LBP/THBS1,6,,
GO:0031345,Digestive,GO:0031345,negative regulation of cell projection organization,6/84,192/18870,0.0002159464683431402,0.006184928336904811,0.004563726982798348,APOE/CDH1/FLNA/NRP1/PTPRG/SPP1,6,,
GO:0006006,Digestive,GO:0006006,glucose metabolic process,6/84,193/18870,0.00022209030253213382,0.0062803764032504684,0.004634156079484631,ADIPOQ/ENO1/GAPDH/GOT1/H6PD/PKM,6,,
GO:0010875,Digestive,GO:0010875,positive regulation of cholesterol efflux,3/84,27/18870,0.0002304106380160299,0.006336806093841247,0.004675794347149505,ADIPOQ/APOE/PLTP,3,,
GO:0045446,Digestive,GO:0045446,endothelial cell differentiation,5/84,124/18870,0.0002304324147613805,0.006336806093841247,0.004675794347149505,CDH5/ICAM1/NRP1/ROBO4/VCL,5,,
GO:0002449,Digestive,GO:0002449,lymphocyte mediated immunity,8/84,368/18870,0.00023259538929945491,0.006336806093841247,0.004675794347149505,C1QA/C2/C5/C7/C9/FCGR3A/ICAM1/MASP2,8,,
GO:0010631,Digestive,GO:0010631,epithelial cell migration,8/84,372/18870,0.0002502061620489219,0.006734464650810742,0.00496921813276616,APOE/CDH5/DPP4/ITGB1/LRG1/NRP1/PTPRG/THBS1,8,,
GO:0090132,Digestive,GO:0090132,epithelium migration,8/84,375/18870,0.00026412023872052535,0.006958702180264658,0.005134678233187793,APOE/CDH5/DPP4/ITGB1/LRG1/NRP1/PTPRG/THBS1,8,,
GO:0010951,Digestive,GO:0010951,negative regulation of endopeptidase activity,5/84,128/18870,0.0002670407493300669,0.006958702180264658,0.005134678233187793,GAPDH/SERPINA11/SERPINA3/THBS1/TIMP1,5,,
GO:0050922,Digestive,GO:0050922,negative regulation of chemotaxis,4/84,70/18870,0.0002678819997774219,0.006958702180264658,0.005134678233187793,C5/DPP4/NRP1/THBS1,4,,
GO:0002460,Digestive,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,8/84,380/18870,0.0002887174758409705,0.007413733804927909,0.00547043638435523,C1QA/C2/C5/C7/C9/FCGR3A/ICAM1/MASP2,8,,
GO:0033344,Digestive,GO:0033344,cholesterol efflux,4/84,73/18870,0.00031479470891000434,0.00799149295119261,0.005896752561639555,ADIPOQ/APOB/APOE/PLTP,4,,
GO:0051701,Digestive,GO:0051701,biological process involved in interaction with host,6/84,211/18870,0.0003582979594353684,0.00899368136380464,0.006636246061215693,AXL/DPP4/ICAM1/ITGB1/MRC1/NRP1,6,,
GO:0010466,Digestive,GO:0010466,negative regulation of peptidase activity,5/84,137/18870,0.0003654706965476729,0.00907179484541668,0.006693884336767903,GAPDH/SERPINA11/SERPINA3/THBS1/TIMP1,5,,
GO:0010743,Digestive,GO:0010743,regulation of macrophage derived foam cell differentiation,3/84,33/18870,0.0004215861182755099,0.010127133206747196,0.007472596052285779,ADIPOQ/APOB/CRP,3,,
GO:0034368,Digestive,GO:0034368,protein-lipid complex remodeling,3/84,33/18870,0.0004215861182755099,0.010127133206747196,0.007472596052285779,APOB/APOE/PLTP,3,,
GO:0034369,Digestive,GO:0034369,plasma lipoprotein particle remodeling,3/84,33/18870,0.0004215861182755099,0.010127133206747196,0.007472596052285779,APOB/APOE/PLTP,3,,
GO:0003158,Digestive,GO:0003158,endothelium development,5/84,143/18870,0.0004448920437580953,0.010573285380378562,0.007801802245522701,CDH5/ICAM1/NRP1/ROBO4/VCL,5,,
GO:0019932,Digestive,GO:0019932,second-messenger-mediated signaling,7/84,310/18870,0.0004636649026455398,0.01089948370002617,0.00804249704294444,ADGRG6/APOE/CAMKK2/FCGR3A/GSTO1/THBS1/VCAM1,7,,
GO:0050810,Digestive,GO:0050810,regulation of steroid biosynthetic process,4/84,81/18870,0.00046837530671553826,0.01089948370002617,0.00804249704294444,APOB/APOE/H6PD/IGFBP7,4,,
GO:0035296,Digestive,GO:0035296,regulation of tube diameter,5/84,146/18870,0.0004891703699753756,0.011081006931295498,0.008176439171845993,ACTA2/APOE/CRP/MMP2/SOD2,5,,
GO:0097746,Digestive,GO:0097746,blood vessel diameter maintenance,5/84,146/18870,0.0004891703699753756,0.011081006931295498,0.008176439171845993,ACTA2/APOE/CRP/MMP2/SOD2,5,,
GO:0070372,Digestive,GO:0070372,regulation of ERK1 and ERK2 cascade,7/84,313/18870,0.0004910562606079921,0.011081006931295498,0.008176439171845993,ACTA2/ADIPOQ/APOE/FBLN1/ICAM1/NRP1/YWHAZ,7,,
GO:0034367,Digestive,GO:0034367,protein-containing complex remodeling,3/84,35/18870,0.0005024991781419827,0.01116209811734648,0.008236274632127685,APOB/APOE/PLTP,3,,
GO:0035150,Digestive,GO:0035150,regulation of tube size,5/84,147/18870,0.0005046427528433279,0.01116209811734648,0.008236274632127685,ACTA2/APOE/CRP/MMP2/SOD2,5,,
GO:0001558,Digestive,GO:0001558,regulation of cell growth,8/84,417/18870,0.0005353203745604803,0.011724565850667775,0.00865130760125606,APOE/CDH1/ENO1/HNF4A/IGFBP7/NRP1/OLFM1/SPP1,8,,
GO:0048041,Digestive,GO:0048041,focal adhesion assembly,4/84,85/18870,0.0005623828607416361,0.012197702047541894,0.009000424730928994,ACTN1/NRP1/THBS1/VCL,4,,
GO:0019058,Digestive,GO:0019058,viral life cycle,7/84,321/18870,0.0005704631916426695,0.012253988174324265,0.009041957065915188,APOE/AXL/DPP4/ICAM1/ITGB1/MRC1/NRP1,7,,
GO:0032370,Digestive,GO:0032370,positive regulation of lipid transport,4/84,86/18870,0.0005878320123107318,0.012365163982663043,0.009123991328676589,ADIPOQ/APOE/PLTP/SPP1,4,,
GO:0044319,Digestive,GO:0044319,"wound healing, spreading of cells",3/84,37/18870,0.000592736256635792,0.012365163982663043,0.009123991328676589,FLNA/ITGB1/LRG1,3,,
GO:0090505,Digestive,GO:0090505,epiboly involved in wound healing,3/84,37/18870,0.000592736256635792,0.012365163982663043,0.009123991328676589,FLNA/ITGB1/LRG1,3,,
GO:0019318,Digestive,GO:0019318,hexose metabolic process,6/84,233/18870,0.0006053163601827234,0.012365163982663043,0.009123991328676589,ADIPOQ/ENO1/GAPDH/GOT1/H6PD/PKM,6,,
GO:0032368,Digestive,GO:0032368,regulation of lipid transport,5/84,153/18870,0.0006053526313572202,0.012365163982663043,0.009123991328676589,ADIPOQ/APOE/PLTP/SPP1/THBS1,5,,
GO:0060485,Digestive,GO:0060485,mesenchyme development,7/84,327/18870,0.0006364777169916688,0.012365163982663043,0.009123991328676589,ACTA2/ANXA6/FLNA/LRG1/NRP1/OLFM1/VASN,7,,
GO:0033627,Digestive,GO:0033627,cell adhesion mediated by integrin,4/84,88/18870,0.0006411673183885153,0.012365163982663043,0.009123991328676589,DPP4/ICAM1/ITGB1/PODXL,4,,
GO:0032373,Digestive,GO:0032373,positive regulation of sterol transport,3/84,38/18870,0.0006414824919775937,0.012365163982663043,0.009123991328676589,ADIPOQ/APOE/PLTP,3,,
GO:0032376,Digestive,GO:0032376,positive regulation of cholesterol transport,3/84,38/18870,0.0006414824919775937,0.012365163982663043,0.009123991328676589,ADIPOQ/APOE/PLTP,3,,
GO:0035633,Digestive,GO:0035633,maintenance of blood-brain barrier,3/84,38/18870,0.0006414824919775937,0.012365163982663043,0.009123991328676589,CDH5/ITGB1/VCL,3,,
GO:0090504,Digestive,GO:0090504,epiboly,3/84,38/18870,0.0006414824919775937,0.012365163982663043,0.009123991328676589,FLNA/ITGB1/LRG1,3,,
GO:0045807,Digestive,GO:0045807,positive regulation of endocytosis,5/84,155/18870,0.0006420586490550193,0.012365163982663043,0.009123991328676589,APOE/AXL/C2/CD14/LMAN2,5,,
GO:0048545,Digestive,GO:0048545,response to steroid hormone,7/84,330/18870,0.0006716887618044193,0.012825236699752758,0.009463469194653356,ADIPOQ/DSG2/GOT1/IGFBP2/IGFBP7/SPP1/THBS1,7,,
GO:0010762,Digestive,GO:0010762,regulation of fibroblast migration,3/84,39/18870,0.0006927155365559346,0.01305271021501234,0.009631317060127844,ACTA2/ITGB1/THBS1,3,,
GO:0009410,Digestive,GO:0009410,response to xenobiotic stimulus,8/84,434/18870,0.0006952876076931372,0.01305271021501234,0.009631317060127844,ADIPOQ/CDH1/GSTO1/HNF4A/IGFBP2/MMP2/SOD2/THBS1,8,,
GO:0030595,Digestive,GO:0030595,leukocyte chemotaxis,6/84,240/18870,0.000706703401961342,0.01315646166651365,0.009707873047995277,C5/DPP4/LBP/MMP2/SAA1/THBS1,6,,
GO:0097006,Digestive,GO:0097006,regulation of plasma lipoprotein particle levels,4/84,91/18870,0.0007274786646741921,0.013431300304811118,0.0099106706296632,ADIPOQ/APOB/APOE/PLTP,4,,
GO:0097529,Digestive,GO:0097529,myeloid leukocyte migration,6/84,242/18870,0.0007379579628137051,0.013453563404179355,0.009927098096850056,C5/DPP4/LBP/MMP2/SAA1/THBS1,6,,
GO:0010742,Digestive,GO:0010742,macrophage derived foam cell differentiation,3/84,40/18870,0.0007464856480137701,0.013453563404179355,0.009927098096850056,ADIPOQ/APOB/CRP,3,,
GO:0070371,Digestive,GO:0070371,ERK1 and ERK2 cascade,7/84,336/18870,0.000746751057349257,0.013453563404179355,0.009927098096850056,ACTA2/ADIPOQ/APOE/FBLN1/ICAM1/NRP1/YWHAZ,7,,
GO:0030516,Digestive,GO:0030516,regulation of axon extension,4/84,92/18870,0.000757989065587245,0.013546780580175243,0.009995881067028426,APOE/CDH1/NRP1/OLFM1,4,,
GO:0090077,Digestive,GO:0090077,foam cell differentiation,3/84,41/18870,0.0008028422916520268,0.014234521266274825,0.010503350281763357,ADIPOQ/APOB/CRP,3,,
GO:0007044,Digestive,GO:0007044,cell-substrate junction assembly,4/84,95/18870,0.0008549426547472024,0.014795152207140998,0.010917027920832495,ACTN1/NRP1/THBS1/VCL,4,,
GO:0044650,Digestive,GO:0044650,adhesion of symbiont to host cell,2/84,10/18870,0.0008609533513555639,0.014795152207140998,0.010917027920832495,DPP4/ICAM1,2,,
GO:0070391,Digestive,GO:0070391,response to lipoteichoic acid,2/84,10/18870,0.0008609533513555639,0.014795152207140998,0.010917027920832495,CD14/LBP,2,,
GO:0071223,Digestive,GO:0071223,cellular response to lipoteichoic acid,2/84,10/18870,0.0008609533513555639,0.014795152207140998,0.010917027920832495,CD14/LBP,2,,
GO:0034109,Digestive,GO:0034109,homotypic cell-cell adhesion,4/84,96/18870,0.0008891162839242193,0.015162486857150426,0.011188076340902593,DSG2/FGL1/FLNA/VCL,4,,
GO:0032496,Digestive,GO:0032496,response to lipopolysaccharide,7/84,348/18870,0.0009167879888234312,0.015385248646176117,0.011352447523871175,AXL/C2/CD14/LBP/MRC1/SOD2/VCAM1,7,,
GO:0006869,Digestive,GO:0006869,lipid transport,8/84,453/18870,0.0009176647342972912,0.015385248646176117,0.011352447523871175,ADIPOQ/APOB/APOE/APOF/LBP/PLTP/SPP1/THBS1,8,,
GO:0007156,Digestive,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,5/84,168/18870,0.000922839444309579,0.015385248646176117,0.011352447523871175,CDH1/CDH5/DSG2/ITGB1/ROBO4,5,,
GO:0051235,Digestive,GO:0051235,maintenance of location,7/84,350/18870,0.0009478806130945727,0.015685668812246485,0.011574121170417942,ANXA6/APOB/APOE/CRP/FLNA/GSTO1/HSPA5,7,,
GO:0048660,Digestive,GO:0048660,regulation of smooth muscle cell proliferation,5/84,171/18870,0.0009988815352316288,0.01640809815961367,0.012107186410005655,ADIPOQ/APOE/MMP2/SOD2/THBS1,5,,
GO:0006898,Digestive,GO:0006898,receptor-mediated endocytosis,6/84,258/18870,0.0010282460721802303,0.01648311065176489,0.012162536531434679,ADIPOQ/APOE/CD14/DPP4/ITGB1/MRC1,6,,
GO:0034446,Digestive,GO:0034446,substrate adhesion-dependent cell spreading,4/84,100/18870,0.0010354765067131116,0.01648311065176489,0.012162536531434679,AXL/FBLN1/FLNA/NRP1,4,,
GO:0033632,Digestive,GO:0033632,regulation of cell-cell adhesion mediated by integrin,2/84,11/18870,0.0010492354496469186,0.01648311065176489,0.012162536531434679,DPP4/PODXL,2,,
GO:0071492,Digestive,GO:0071492,cellular response to UV-A,2/84,11/18870,0.0010492354496469186,0.01648311065176489,0.012162536531434679,MMP2/TIMP1,2,,
GO:0072015,Digestive,GO:0072015,podocyte development,2/84,11/18870,0.0010492354496469186,0.01648311065176489,0.012162536531434679,ADIPOQ/PODXL,2,,
GO:1903034,Digestive,GO:1903034,regulation of response to wounding,5/84,173/18870,0.0010521023031065313,0.01648311065176489,0.012162536531434679,APOE/FLNA/ITGB1/SPP1/THBS1,5,,
GO:0051602,Digestive,GO:0051602,response to electrical stimulus,3/84,45/18870,0.0010550961607888897,0.01648311065176489,0.012162536531434679,CD14/MMP2/SOD2,3,,
GO:0002443,Digestive,GO:0002443,leukocyte mediated immunity,8/84,466/18870,0.0011003690538587602,0.01693978759251649,0.0124995087263256,C1QA/C2/C5/C7/C9/FCGR3A/ICAM1/MASP2,8,,
GO:0048659,Digestive,GO:0048659,smooth muscle cell proliferation,5/84,175/18870,0.0011074018924942068,0.01693978759251649,0.0124995087263256,ADIPOQ/APOE/MMP2/SOD2/THBS1,5,,
GO:0048762,Digestive,GO:0048762,mesenchymal cell differentiation,6/84,262/18870,0.0011129268980551107,0.01693978759251649,0.0124995087263256,ANXA6/FLNA/LRG1/NRP1/OLFM1/VASN,6,,
GO:0150115,Digestive,GO:0150115,cell-substrate junction organization,4/84,102/18870,0.0011146592551924458,0.01693978759251649,0.0124995087263256,ACTN1/NRP1/THBS1/VCL,4,,
GO:0006935,Digestive,GO:0006935,chemotaxis,8/84,468/18870,0.0011308957361356225,0.01707041266572284,0.012595894187684102,C5/DPP4/LBP/MMP2/NRP1/SAA1/THBS1/VCAM1,8,,
GO:0032677,Digestive,GO:0032677,regulation of interleukin-8 production,4/84,103/18870,0.001155802082708627,0.01730750070461926,0.012770836405519372,ADIPOQ/CD14/CRP/LBP,4,,
GO:0042330,Digestive,GO:0042330,taxis,8/84,470/18870,0.0011620971824945789,0.01730750070461926,0.012770836405519372,C5/DPP4/LBP/MMP2/NRP1/SAA1/THBS1/VCAM1,8,,
GO:0035850,Digestive,GO:0035850,epithelial cell differentiation involved in kidney development,3/84,47/18870,0.0011979713410282288,0.017492344838586766,0.012907228957841434,ACTA2/ADIPOQ/PODXL,3,,
GO:0019218,Digestive,GO:0019218,regulation of steroid metabolic process,4/84,104/18870,0.0011979985498226388,0.017492344838586766,0.012907228957841434,APOB/APOE/H6PD/IGFBP7,4,,
GO:0032637,Digestive,GO:0032637,interleukin-8 production,4/84,104/18870,0.0011979985498226388,0.017492344838586766,0.012907228957841434,ADIPOQ/CD14/CRP/LBP,4,,
GO:0072310,Digestive,GO:0072310,glomerular epithelial cell development,2/84,12/18870,0.0012554452304188815,0.018078978176111222,0.013340093211982365,ADIPOQ/PODXL,2,,
GO:0043277,Digestive,GO:0043277,apoptotic cell clearance,3/84,48/18870,0.0012737536693684655,0.018078978176111222,0.013340093211982365,AXL/C2/THBS1,3,,
GO:0003018,Digestive,GO:0003018,vascular process in circulatory system,6/84,269/18870,0.0012739055629256296,0.018078978176111222,0.013340093211982365,ACTA2/APOE/CDH5/CRP/MMP2/SOD2,6,,
GO:0032760,Digestive,GO:0032760,positive regulation of tumor necrosis factor production,4/84,106/18870,0.001285610364345251,0.018078978176111222,0.013340093211982365,CD14/FCGR3A/LBP/THBS1,4,,
GO:0043534,Digestive,GO:0043534,blood vessel endothelial cell migration,5/84,181/18870,0.0012862759026846546,0.018078978176111222,0.013340093211982365,APOE/CDH5/ITGB1/NRP1/THBS1,5,,
GO:0002237,Digestive,GO:0002237,response to molecule of bacterial origin,7/84,369/18870,0.001286731213071479,0.018078978176111222,0.013340093211982365,AXL/C2/CD14/LBP/MRC1/SOD2/VCAM1,7,,
GO:0043086,Digestive,GO:0043086,negative regulation of catalytic activity,8/84,480/18870,0.00132860588351974,0.01855065964864437,0.013688136931525744,ADIPOQ/APOE/GAPDH/SERPINA11/SERPINA3/THBS1/TIMP1/YWHAG,8,,
GO:0050808,Digestive,GO:0050808,synapse organization,8/84,483/18870,0.0013821061636088714,0.019051012825265553,0.014057336891281089,ACTN1/APOE/C1QA/CDH1/FLNA/ITGB1/NRP1/YWHAZ,8,,
GO:0048771,Digestive,GO:0048771,tissue remodeling,5/84,184/18870,0.0013833253185678812,0.019051012825265553,0.014057336891281089,AXL/FLNA/MMP2/SPP1/TIMP1,5,,
GO:1901653,Digestive,GO:1901653,cellular response to peptide,7/84,374/18870,0.0013900246600350426,0.019051012825265553,0.014057336891281089,ADIPOQ/CTSD/GOT1/ICAM1/PKM/VCAM1/YWHAG,7,,
GO:0042149,Digestive,GO:0042149,cellular response to glucose starvation,3/84,50/18870,0.0014342247069195747,0.01941853330459594,0.01432852243085202,HSPA5/YWHAG/YWHAZ,3,,
GO:0071827,Digestive,GO:0071827,plasma lipoprotein particle organization,3/84,50/18870,0.0014342247069195747,0.01941853330459594,0.01432852243085202,APOB/APOE/PLTP,3,,
GO:1903557,Digestive,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,4/84,110/18870,0.0014741145712837782,0.019639108764417896,0.014491280368033935,CD14/FCGR3A/LBP/THBS1,4,,
GO:0034145,Digestive,GO:0034145,positive regulation of toll-like receptor 4 signaling pathway,2/84,13/18870,0.0014794231810609667,0.019639108764417896,0.014491280368033935,CD14/LBP,2,,
GO:0044406,Digestive,GO:0044406,adhesion of symbiont to host,2/84,13/18870,0.0014794231810609667,0.019639108764417896,0.014491280368033935,DPP4/ICAM1,2,,
GO:0008361,Digestive,GO:0008361,regulation of cell size,5/84,187/18870,0.0014856801169143348,0.019639108764417896,0.014491280368033935,APOE/CDH1/NRP1/OLFM1/SPP1,5,,
GO:0002696,Digestive,GO:0002696,positive regulation of leukocyte activation,7/84,380/18870,0.0015224320258882748,0.019810627406743667,0.014617840323686841,AXL/DPP4/FCGR3A/IGFBP2/LBP/THBS1/VCAM1,7,,
GO:0007229,Digestive,GO:0007229,integrin-mediated signaling pathway,4/84,111/18870,0.0015240916199874355,0.019810627406743667,0.014617840323686841,FLNA/ITGB1/NRP1/TIMP1,4,,
GO:0001894,Digestive,GO:0001894,tissue homeostasis,6/84,279/18870,0.0015341264733064702,0.019810627406743667,0.014617840323686841,CDH5/ITGB1/LYZ/SERPINA3/SPP1/VCL,6,,
GO:0060249,Digestive,GO:0060249,anatomical structure homeostasis,6/84,279/18870,0.0015341264733064702,0.019810627406743667,0.014617840323686841,CDH5/ITGB1/LYZ/SERPINA3/SPP1/VCL,6,,
GO:0030308,Digestive,GO:0030308,negative regulation of cell growth,5/84,189/18870,0.0015569501807295948,0.01998980864224089,0.014750054343754057,CDH1/ENO1/HNF4A/NRP1/SPP1,5,,
GO:0006968,Digestive,GO:0006968,cellular defense response,3/84,52/18870,0.0016068516410417458,0.020396060034586706,0.015049818599709174,ITGB1/LBP/LGALS3BP,3,,
GO:0031103,Digestive,GO:0031103,axon regeneration,3/84,52/18870,0.0016068516410417458,0.020396060034586706,0.015049818599709174,FLNA/MMP2/SPP1,3,,
GO:0043542,Digestive,GO:0043542,endothelial cell migration,6/84,284/18870,0.001678539280588402,0.02078236855072278,0.015334867431763592,APOE/CDH5/DPP4/ITGB1/NRP1/THBS1,6,,
GO:0001819,Digestive,GO:0001819,positive regulation of cytokine production,8/84,499/18870,0.0016971884912377775,0.02078236855072278,0.015334867431763592,ADIPOQ/C5/CD14/FCGR3A/GAPDH/LBP/SAA1/THBS1,8,,
GO:0071622,Digestive,GO:0071622,regulation of granulocyte chemotaxis,3/84,53/18870,0.001697826153124345,0.02078236855072278,0.015334867431763592,DPP4/LBP/THBS1,3,,
GO:0071825,Digestive,GO:0071825,protein-lipid complex organization,3/84,53/18870,0.001697826153124345,0.02078236855072278,0.015334867431763592,APOB/APOE/PLTP,3,,
GO:1904645,Digestive,GO:1904645,response to amyloid-beta,3/84,53/18870,0.001697826153124345,0.02078236855072278,0.015334867431763592,ICAM1/MMP2/VCAM1,3,,
GO:0010745,Digestive,GO:0010745,negative regulation of macrophage derived foam cell differentiation,2/84,14/18870,0.0017210108244779382,0.02078236855072278,0.015334867431763592,ADIPOQ/CRP,2,,
GO:0035641,Digestive,GO:0035641,locomotory exploration behavior,2/84,14/18870,0.0017210108244779382,0.02078236855072278,0.015334867431763592,APOE/DPP4,2,,
GO:0070141,Digestive,GO:0070141,response to UV-A,2/84,14/18870,0.0017210108244779382,0.02078236855072278,0.015334867431763592,MMP2/TIMP1,2,,
GO:0098883,Digestive,GO:0098883,synapse pruning,2/84,14/18870,0.0017210108244779382,0.02078236855072278,0.015334867431763592,C1QA/ITGB1,2,,
GO:0071560,Digestive,GO:0071560,cellular response to transforming growth factor beta stimulus,6/84,287/18870,0.00177001941394671,0.02117996408270644,0.015628244712584595,ACTA2/CDH5/HSPA5/LRG1/THBS1/VASN,6,,
GO:0010761,Digestive,GO:0010761,fibroblast migration,3/84,54/18870,0.0017919613253185717,0.02117996408270644,0.015628244712584595,ACTA2/ITGB1/THBS1,3,,
GO:0010874,Digestive,GO:0010874,regulation of cholesterol efflux,3/84,54/18870,0.0017919613253185717,0.02117996408270644,0.015628244712584595,ADIPOQ/APOE/PLTP,3,,
GO:0120009,Digestive,GO:0120009,intermembrane lipid transfer,3/84,54/18870,0.0017919613253185717,0.02117996408270644,0.015628244712584595,APOB/APOE/PLTP,3,,
GO:0052548,Digestive,GO:0052548,regulation of endopeptidase activity,6/84,288/18870,0.0018013398279830902,0.02117996408270644,0.015628244712584595,CTSD/GAPDH/SERPINA11/SERPINA3/THBS1/TIMP1,6,,
GO:0034381,Digestive,GO:0034381,plasma lipoprotein particle clearance,3/84,55/18870,0.0018892962574928857,0.02196541401868752,0.016207811503210975,ADIPOQ/APOB/APOE,3,,
GO:1902930,Digestive,GO:1902930,regulation of alcohol biosynthetic process,3/84,55/18870,0.0018892962574928857,0.02196541401868752,0.016207811503210975,APOB/APOE/H6PD,3,,
GO:0030100,Digestive,GO:0030100,regulation of endocytosis,6/84,291/18870,0.0018978330913617788,0.02196541401868752,0.016207811503210975,ADIPOQ/APOE/AXL/C2/CD14/LMAN2,6,,
GO:0050830,Digestive,GO:0050830,defense response to Gram-positive bacterium,4/84,118/18870,0.001907471047280832,0.02196541401868752,0.016207811503210975,CRP/LBP/LYZ/RNASE4,4,,
