,Hcluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
GO:0051235,C1,GO:0051235,maintenance of location,9/87,350/18870,3.3697250221453705e-05,0.001370778707121777,0.0010166062182003612,ANXA6/APOE/CRP/FLNA/GP1BA/GSTO1/S100A8/S100A9/TMSB4X,9,,
GO:0010466,C1,GO:0010466,negative regulation of peptidase activity,6/87,137/18870,4.090659645815923e-05,0.001633233740070209,0.0012112499029228827,CST3/GAPDH/SERPINA11/SERPINA3/SERPING1/TIMP1,6,,
GO:0048678,C1,GO:0048678,response to axon injury,5/87,84/18870,4.3005563450535536e-05,0.001685818087260993,0.0012502478637581528,FLNA/MMP2/SOD2/SPP1/TNC,5,,
GO:0098742,C1,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,8/87,279/18870,4.396846873816677e-05,0.0016927860464194206,0.0012554154889713408,ADIPOQ/ALCAM/CDH1/DSG2/ICAM1/ITGB1/PVR/VCAM1,8,,
GO:0050878,C1,GO:0050878,regulation of body fluid levels,9/87,365/18870,4.668166421906472e-05,0.001765713474671992,0.0013095004237998029,APOE/FBLN1/FGL1/FLNA/GP1BA/SAA1/SERPING1/VCL/VWF,9,,
GO:0017014,C1,GO:0017014,protein nitrosylation,3/87,16/18870,5.0759197082978036e-05,0.0018239471485150106,0.0013526880766498886,GAPDH/S100A8/S100A9,3,,
GO:0018119,C1,GO:0018119,peptidyl-cysteine S-nitrosylation,3/87,16/18870,5.0759197082978036e-05,0.0018239471485150106,0.0013526880766498886,GAPDH/S100A8/S100A9,3,,
GO:0072378,C1,GO:0072378,"blood coagulation, fibrin clot formation",3/87,16/18870,5.0759197082978036e-05,0.0018239471485150106,0.0013526880766498886,FBLN1/FLNA/GP1BA,3,,
GO:0002443,C1,GO:0002443,leukocyte mediated immunity,10/87,466/18870,5.601546673915542e-05,0.0019747168381254645,0.0014645029182270193,C1QA/C2/C4BPA/C7/C9/FCGR3A/ICAM1/MBL2/PVR/SERPING1,10,,
GO:0006096,C1,GO:0006096,glycolytic process,5/87,89/18870,5.6786847849619113e-05,0.0019747168381254645,0.0014645029182270193,ALDOA/ENO1/GAPDH/PGK1/PKM,5,,
GO:0030516,C1,GO:0030516,regulation of axon extension,5/87,92/18870,6.655491816861853e-05,0.0022776571995482783,0.001689171607320494,APOE/CDH1/MEGF8/NRP1/OLFM1,5,,
GO:0001666,C1,GO:0001666,response to hypoxia,8/87,298/18870,6.98435766810482e-05,0.0023528554894428114,0.0017449406739886882,ADIPOQ/ENO1/HSPG2/MMP2/PGK1/SOD2/VASN/VCAM1,8,,
GO:0006735,C1,GO:0006735,NADH regeneration,3/87,18/18870,7.347148603659445e-05,0.00236424662529698,0.0017533886455551768,ENO1/PGK1/PKM,3,,
GO:0061621,C1,GO:0061621,canonical glycolysis,3/87,18/18870,7.347148603659445e-05,0.00236424662529698,0.0017533886455551768,ENO1/PGK1/PKM,3,,
GO:0061718,C1,GO:0061718,glucose catabolic process to pyruvate,3/87,18/18870,7.347148603659445e-05,0.00236424662529698,0.0017533886455551768,ENO1/PGK1/PKM,3,,
GO:0046718,C1,GO:0046718,viral entry into host cell,6/87,156/18870,8.431101545487891e-05,0.0026405489674450606,0.0019583018658085377,ICAM1/ITGB1/MRC1/NRP1/PVR/SLC3A2,6,,
GO:0002523,C1,GO:0002523,leukocyte migration involved in inflammatory response,3/87,19/18870,8.695685375166943e-05,0.0026405489674450606,0.0019583018658085377,LBP/S100A8/S100A9,3,,
GO:0002544,C1,GO:0002544,chronic inflammatory response,3/87,19/18870,8.695685375166943e-05,0.0026405489674450606,0.0019583018658085377,S100A8/S100A9/VCAM1,3,,
GO:0072376,C1,GO:0072376,protein activation cascade,3/87,19/18870,8.695685375166943e-05,0.0026405489674450606,0.0019583018658085377,FBLN1/FLNA/GP1BA,3,,
GO:0031667,C1,GO:0031667,response to nutrient levels,10/87,495/18870,9.24464992718066e-05,0.002768259061527986,0.0020530150934776935,ADIPOQ/APOE/C2/H6PD/HSPA8/IGFBP2/SOD2/SPP1/TNC/VCAM1,10,,
GO:0031103,C1,GO:0031103,axon regeneration,4/87,52/18870,9.637806253527129e-05,0.002846453463370478,0.0021110061570450917,FLNA/MMP2/SPP1/TNC,4,,
GO:0019318,C1,GO:0019318,hexose metabolic process,7/87,233/18870,0.00010103275995933218,0.0029086577552584086,0.0021571385266270495,ADIPOQ/ALDOA/ENO1/GAPDH/H6PD/PGK1/PKM,7,,
GO:0061620,C1,GO:0061620,glycolytic process through glucose-6-phosphate,3/87,20/18870,0.00010196157505610127,0.0029086577552584086,0.0021571385266270495,ENO1/PGK1/PKM,3,,
GO:0036293,C1,GO:0036293,response to decreased oxygen levels,8/87,315/18870,0.00010271202065416021,0.0029086577552584086,0.0021571385266270495,ADIPOQ/ENO1/HSPG2/MMP2/PGK1/SOD2/VASN/VCAM1,8,,
GO:0007157,C1,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,4/87,53/18870,0.00010388063411637173,0.0029086577552584086,0.0021571385266270495,ALCAM/ICAM1/PVR/VCAM1,4,,
GO:0044409,C1,GO:0044409,entry into host,6/87,163/18870,0.00010738664923498524,0.0029682771250080535,0.0022013538486901833,ICAM1/ITGB1/MRC1/NRP1/PVR/SLC3A2,6,,
GO:0032677,C1,GO:0032677,regulation of interleukin-8 production,5/87,103/18870,0.00011386614828367731,0.00309597365178493,0.002296057014481647,ADIPOQ/CD14/CRP/LBP/TMSB4X,5,,
GO:0019058,C1,GO:0019058,viral life cycle,8/87,321/18870,0.00011700547580824019,0.00309597365178493,0.002296057014481647,APOE/HSPA8/ICAM1/ITGB1/MRC1/NRP1/PVR/SLC3A2,8,,
GO:0007160,C1,GO:0007160,cell-matrix adhesion,7/87,239/18870,0.00011833385681764034,0.00309597365178493,0.002296057014481647,FGL1/ITGB1/LYVE1/NID1/NRP1/VCAM1/VCL,7,,
GO:2001044,C1,GO:2001044,regulation of integrin-mediated signaling pathway,3/87,21/18870,0.00011855919368262456,0.00309597365178493,0.002296057014481647,FLNA/NID1/TIMP1,3,,
GO:0032637,C1,GO:0032637,interleukin-8 production,5/87,104/18870,0.00011918636971157198,0.00309597365178493,0.002296057014481647,ADIPOQ/CD14/CRP/LBP/TMSB4X,5,,
GO:0060326,C1,GO:0060326,cell chemotaxis,8/87,325/18870,0.00012741995073326792,0.003270445402153877,0.002425449939396416,LBP/MMP2/NRP1/S100A8/S100A9/SAA1/TMSB4X/VCAM1,8,,
GO:0007159,C1,GO:0007159,leukocyte cell-cell adhesion,9/87,419/18870,0.00013379171847704004,0.003393587588664686,0.0025167754844163943,FGL1/GP1BA/ICAM1/IGFBP2/ITGB1/LRG1/S100A8/S100A9/VCAM1,9,,
GO:0031102,C1,GO:0031102,neuron projection regeneration,4/87,58/18870,0.00014789529287261135,0.0036451016343675056,0.0027033050398419306,FLNA/MMP2/SPP1/TNC,4,,
GO:0061756,C1,GO:0061756,leukocyte adhesion to vascular endothelial cell,4/87,58/18870,0.00014789529287261135,0.0036451016343675056,0.0027033050398419306,GP1BA/ITGB1/LRG1/VCAM1,4,,
GO:1903034,C1,GO:1903034,regulation of response to wounding,6/87,173/18870,0.00014877965854561247,0.0036451016343675056,0.0027033050398419306,APOE/FLNA/GP1BA/ITGB1/SERPING1/SPP1,6,,
GO:0007229,C1,GO:0007229,integrin-mediated signaling pathway,5/87,111/18870,0.00016196602496294815,0.003923581458652991,0.0029098331391924103,FLNA/ITGB1/NID1/NRP1/TIMP1,5,,
GO:0016032,C1,GO:0016032,viral process,9/87,432/18870,0.00016823066713290592,0.003999168314218583,0.00296589037657359,APOE/HSPA8/ICAM1/ITGB1/MBL2/MRC1/NRP1/PVR/SLC3A2,9,,
GO:0002011,C1,GO:0002011,morphogenesis of an epithelial sheet,4/87,60/18870,0.0001687960652105246,0.003999168314218583,0.00296589037657359,FLNA/ITGB1/LRG1/MEGF8,4,,
GO:0061615,C1,GO:0061615,glycolytic process through fructose-6-phosphate,3/87,24/18870,0.0001786287882244994,0.0041731219068932065,0.003094899021858599,ENO1/PGK1/PKM,3,,
GO:0034113,C1,GO:0034113,heterotypic cell-cell adhesion,4/87,61/18870,0.0001800094329040205,0.0041731219068932065,0.003094899021858599,ADIPOQ/DSG2/ITGB1/VCAM1,4,,
GO:0070482,C1,GO:0070482,response to oxygen levels,8/87,343/18870,0.00018425128084957084,0.004226018739485901,0.0031341287302407406,ADIPOQ/ENO1/HSPG2/MMP2/PGK1/SOD2/VASN/VCAM1,8,,
GO:0006898,C1,GO:0006898,receptor-mediated endocytosis,7/87,258/18870,0.00018966141959714586,0.004304316006857331,0.003192196081640605,ADIPOQ/APOE/CD14/HSPG2/ITGB1/LYVE1/MRC1,7,,
GO:0032496,C1,GO:0032496,response to lipopolysaccharide,8/87,348/18870,0.00020329394335476063,0.004565643144508999,0.0033860032889899278,C2/CD14/LBP/MRC1/S100A8/S100A9/SOD2/VCAM1,8,,
GO:0048771,C1,GO:0048771,tissue remodeling,6/87,184/18870,0.00020795469796931832,0.0046221683383695904,0.0034279238873075922,CST3/FLNA/FLT4/MMP2/SPP1/TIMP1,6,,
GO:0006090,C1,GO:0006090,pyruvate metabolic process,5/87,118/18870,0.00021559955665313612,0.004743190246368995,0.003517676976972222,ALDOA/ENO1/GAPDH/PGK1/PKM,5,,
GO:0007409,C1,GO:0007409,axonogenesis,9/87,448/18870,0.00022049956928125796,0.004801990619902951,0.003561284909497404,ALCAM/APOE/CDH1/ITGB1/MEGF8/NRP1/OLFM1/SPP1/VCL,9,,
GO:0008361,C1,GO:0008361,regulation of cell size,6/87,187/18870,0.00022694396413075823,0.004892911866659147,0.003628714542259177,APOE/CDH1/MEGF8/NRP1/OLFM1/SPP1,6,,
GO:0044000,C1,GO:0044000,movement in host,6/87,188/18870,0.000233568613238275,0.004985880496452683,0.0036976625691395497,ICAM1/ITGB1/MRC1/NRP1/PVR/SLC3A2,6,,
GO:0051702,C1,GO:0051702,biological process involved in interaction with symbiont,5/87,121/18870,0.0002423301465765794,0.0051221940786186785,0.0037987563740951927,APOE/CFHR5/GAPDH/HSPA8/MBL2,5,,
GO:0006007,C1,GO:0006007,glucose catabolic process,3/87,27/18870,0.00025557983623643516,0.005298366605055328,0.003929410640112804,ENO1/PGK1/PKM,3,,
GO:0010875,C1,GO:0010875,positive regulation of cholesterol efflux,3/87,27/18870,0.00025557983623643516,0.005298366605055328,0.003929410640112804,ADIPOQ/APOE/PLTP,3,,
GO:0006006,C1,GO:0006006,glucose metabolic process,6/87,193/18870,0.0002690138125713464,0.0055237502847983126,0.004096561215998749,ADIPOQ/ENO1/GAPDH/H6PD/PGK1/PKM,6,,
GO:0051873,C1,GO:0051873,killing by host of symbiont cells,3/87,28/18870,0.0002852977905417752,0.0058028494000761065,0.004303548598142568,CFHR5/GAPDH/MBL2,3,,
GO:0002237,C1,GO:0002237,response to molecule of bacterial origin,8/87,369/18870,0.00030183643456106773,0.006061731046068856,0.004495542163352502,C2/CD14/LBP/MRC1/S100A8/S100A9/SOD2/VCAM1,8,,
GO:0006935,C1,GO:0006935,chemotaxis,9/87,468/18870,0.00030421918379147937,0.006061731046068856,0.004495542163352502,LBP/MEGF8/MMP2/NRP1/S100A8/S100A9/SAA1/TMSB4X/VCAM1,9,,
GO:0002752,C1,GO:0002752,cell surface pattern recognition receptor signaling pathway,4/87,70/18870,0.0003064604285814032,0.006061731046068856,0.004495542163352502,CD14/COLEC11/LBP/MBL2,4,,
GO:0042330,C1,GO:0042330,taxis,9/87,470/18870,0.0003138734023188519,0.006151918685449498,0.004562427733228096,LBP/MEGF8/MMP2/NRP1/S100A8/S100A9/SAA1/TMSB4X/VCAM1,9,,
GO:0010631,C1,GO:0010631,epithelial cell migration,8/87,372/18870,0.0003186580936356102,0.006189431079985365,0.004590247930132688,APOE/FLT4/FSTL1/ITGB1/LRG1/NRP1/S100A9/TMSB4X,8,,
GO:0090132,C1,GO:0090132,epithelium migration,8/87,375/18870,0.0003362390482401331,0.0064726016786225615,0.004800254833428216,APOE/FLT4/FSTL1/ITGB1/LRG1/NRP1/S100A9/TMSB4X,8,,
GO:0043542,C1,GO:0043542,endothelial cell migration,7/87,284/18870,0.00033992826471413476,0.006485710962156412,0.00480997702935045,APOE/FLT4/FSTL1/ITGB1/NRP1/S100A9/TMSB4X,7,,
GO:0090130,C1,GO:0090130,tissue migration,8/87,380/18870,0.00036729823296426605,0.006946447283078576,0.00515167143003435,APOE/FLT4/FSTL1/ITGB1/LRG1/NRP1/S100A9/TMSB4X,8,,
GO:0051701,C1,GO:0051701,biological process involved in interaction with host,6/87,211/18870,0.0004329581169272354,0.008117023479087996,0.006019802101715979,ICAM1/ITGB1/MRC1/NRP1/PVR/SLC3A2,6,,
GO:0010977,C1,GO:0010977,negative regulation of neuron projection development,5/87,140/18870,0.00047468594191495844,0.00882261112731595,0.0065430848073395826,APOE/CDH1/FLNA/NRP1/SPP1,5,,
GO:0050901,C1,GO:0050901,leukocyte tethering or rolling,3/87,34/18870,0.0005108278709656225,0.009400367055289386,0.006971564084066292,GP1BA/ITGB1/VCAM1,3,,
GO:0051346,C1,GO:0051346,negative regulation of hydrolase activity,6/87,218/18870,0.000514491332339586,0.009400367055289386,0.006971564084066292,CST3/GAPDH/SERPINA11/SERPINA3/SERPING1/TIMP1,6,,
GO:0044319,C1,GO:0044319,"wound healing, spreading of cells",3/87,37/18870,0.0006567074392074072,0.011798843657759748,0.008750338597860102,FLNA/ITGB1/LRG1,3,,
GO:0090505,C1,GO:0090505,epiboly involved in wound healing,3/87,37/18870,0.0006567074392074072,0.011798843657759748,0.008750338597860102,FLNA/ITGB1/LRG1,3,,
GO:0032370,C1,GO:0032370,positive regulation of lipid transport,4/87,86/18870,0.0006711413961266045,0.011958519421892225,0.008868758422934428,ADIPOQ/APOE/PLTP/SPP1,4,,
GO:0032373,C1,GO:0032373,positive regulation of sterol transport,3/87,38/18870,0.0007106307684256157,0.01225695949380502,0.009090089576745352,ADIPOQ/APOE/PLTP,3,,
GO:0032376,C1,GO:0032376,positive regulation of cholesterol transport,3/87,38/18870,0.0007106307684256157,0.01225695949380502,0.009090089576745352,ADIPOQ/APOE/PLTP,3,,
GO:0048846,C1,GO:0048846,axon extension involved in axon guidance,3/87,38/18870,0.0007106307684256157,0.01225695949380502,0.009090089576745352,ALCAM/MEGF8/NRP1,3,,
GO:1902284,C1,GO:1902284,neuron projection extension involved in neuron projection guidance,3/87,38/18870,0.0007106307684256157,0.01225695949380502,0.009090089576745352,ALCAM/MEGF8/NRP1,3,,
GO:0045807,C1,GO:0045807,positive regulation of endocytosis,5/87,155/18870,0.000753477246538062,0.012813170960105648,0.009502590903427633,APOE/C2/CD14/COLEC11/MBL2,5,,
GO:0045861,C1,GO:0045861,negative regulation of proteolysis,6/87,235/18870,0.0007625204448651718,0.012813170960105648,0.009502590903427633,CST3/GAPDH/SERPINA11/SERPINA3/SERPING1/TIMP1,6,,
GO:0045088,C1,GO:0045088,regulation of innate immune response,8/87,425/18870,0.0007666507670935197,0.012813170960105648,0.009502590903427633,APOE/CD14/COLEC11/HSPA8/LBP/MBL2/PVR/SERPING1,8,,
GO:0050727,C1,GO:0050727,regulation of inflammatory response,8/87,425/18870,0.0007666507670935197,0.012813170960105648,0.009502590903427633,ADIPOQ/APOE/LBP/S100A8/S100A9/SAA1/TMSB4X/TNC,8,,
GO:0042742,C1,GO:0042742,defense response to bacterium,7/87,330/18870,0.0008288360284360867,0.013661155054287829,0.010131478628778057,CRP/LBP/LCN2/LYZ/MBL2/S100A8/S100A9,7,,
GO:0002220,C1,GO:0002220,innate immune response activating cell surface receptor signaling pathway,4/87,91/18870,0.0008300609054321455,0.013661155054287829,0.010131478628778057,CD14/COLEC11/LBP/MBL2,4,,
GO:0002691,C1,GO:0002691,regulation of cellular extravasation,3/87,41/18870,0.0008890697668810799,0.014521472859057638,0.010769513364372893,GP1BA/ICAM1/LYVE1,3,,
GO:0010572,C1,GO:0010572,positive regulation of platelet activation,2/87,10/18870,0.0009231483253179585,0.01463461609842293,0.01085342342227538,FLNA/GP1BA,2,,
GO:0014012,C1,GO:0014012,peripheral nervous system axon regeneration,2/87,10/18870,0.0009231483253179585,0.01463461609842293,0.01085342342227538,MMP2/TNC,2,,
GO:0070391,C1,GO:0070391,response to lipoteichoic acid,2/87,10/18870,0.0009231483253179585,0.01463461609842293,0.01085342342227538,CD14/LBP,2,,
GO:0071223,C1,GO:0071223,cellular response to lipoteichoic acid,2/87,10/18870,0.0009231483253179585,0.01463461609842293,0.01085342342227538,CD14/LBP,2,,
GO:0016052,C1,GO:0016052,carbohydrate catabolic process,5/87,163/18870,0.0009446518496054735,0.014866199910579568,0.01102517218248724,ALDOA/ENO1/GAPDH/PGK1/PKM,5,,
GO:0034109,C1,GO:0034109,homotypic cell-cell adhesion,4/87,96/18870,0.0010138589896018626,0.015839710011460985,0.01174715335778207,DSG2/FGL1/FLNA/VCL,4,,
GO:0014002,C1,GO:0014002,astrocyte development,3/87,43/18870,0.0010224556919660821,0.01585909691999189,0.011761531208606431,C1QA/S100A8/S100A9,3,,
GO:1903035,C1,GO:1903035,negative regulation of response to wounding,4/87,97/18870,0.0010537815325361995,0.01622823560105747,0.01203529434528186,APOE/GP1BA/SERPING1/SPP1,4,,
GO:0019320,C1,GO:0019320,hexose catabolic process,3/87,44/18870,0.0010936326895813744,0.016722497012322292,0.012401851851243807,ENO1/PGK1/PKM,3,,
GO:0071492,C1,GO:0071492,cellular response to UV-A,2/87,11/18870,0.0011249129326840598,0.01684244640879745,0.012490809537624905,MMP2/TIMP1,2,,
GO:0072015,C1,GO:0072015,podocyte development,2/87,11/18870,0.0011249129326840598,0.01684244640879745,0.012490809537624905,ADIPOQ/PODXL,2,,
GO:2001171,C1,GO:2001171,positive regulation of ATP biosynthetic process,2/87,11/18870,0.0011249129326840598,0.01684244640879745,0.012490809537624905,ENO1/TMSB4X,2,,
GO:0098869,C1,GO:0098869,cellular oxidant detoxification,4/87,99/18870,0.0011369187088808858,0.016904805078256483,0.012537056397750025,APOE/GSTO1/S100A9/SOD2,4,,
GO:0018198,C1,GO:0018198,peptidyl-cysteine modification,3/87,45/18870,0.0011678663592396671,0.01701297209811299,0.012617275957930687,GAPDH/S100A8/S100A9,3,,
GO:0030574,C1,GO:0030574,collagen catabolic process,3/87,45/18870,0.0011678663592396671,0.01701297209811299,0.012617275957930687,CST3/ITGB1/MMP2,3,,
GO:0051602,C1,GO:0051602,response to electrical stimulus,3/87,45/18870,0.0011678663592396671,0.01701297209811299,0.012617275957930687,CD14/MMP2/SOD2,3,,
GO:0050764,C1,GO:0050764,regulation of phagocytosis,4/87,100/18870,0.0011801656171098545,0.01707675886234125,0.012664581931401405,ADIPOQ/C2/COLEC11/MBL2,4,,
GO:0048762,C1,GO:0048762,mesenchymal cell differentiation,6/87,262/18870,0.001335757086546121,0.018720390585915327,0.013883543257497015,ANXA6/FLNA/LRG1/NRP1/OLFM1/VASN,6,,
GO:0051238,C1,GO:0051238,sequestering of metal ion,2/87,12/18870,0.0013458536831247104,0.018720390585915327,0.013883543257497015,S100A8/S100A9,2,,
GO:0060312,C1,GO:0060312,regulation of blood vessel remodeling,2/87,12/18870,0.0013458536831247104,0.018720390585915327,0.013883543257497015,CST3/FLT4,2,,
GO:0072310,C1,GO:0072310,glomerular epithelial cell development,2/87,12/18870,0.0013458536831247104,0.018720390585915327,0.013883543257497015,ADIPOQ/PODXL,2,,
GO:1903580,C1,GO:1903580,positive regulation of ATP metabolic process,2/87,12/18870,0.0013458536831247104,0.018720390585915327,0.013883543257497015,ENO1/TMSB4X,2,,
GO:2001046,C1,GO:2001046,positive regulation of integrin-mediated signaling pathway,2/87,12/18870,0.0013458536831247104,0.018720390585915327,0.013883543257497015,FLNA/NID1,2,,
GO:0030195,C1,GO:0030195,negative regulation of blood coagulation,3/87,48/18870,0.0014093972278638477,0.019478592456887538,0.014445846080466836,APOE/GP1BA/SERPING1,3,,
GO:0032526,C1,GO:0032526,response to retinoic acid,4/87,106/18870,0.001464158587471622,0.02010653448782686,0.014911544715852456,IGFBP2/IGFBP7/MMP2/TNC,4,,
GO:0010543,C1,GO:0010543,regulation of platelet activation,3/87,49/18870,0.0014963431816231957,0.020272203690283146,0.015034409435377455,APOE/FLNA/GP1BA,3,,
GO:1900047,C1,GO:1900047,negative regulation of hemostasis,3/87,49/18870,0.0014963431816231957,0.020272203690283146,0.015034409435377455,APOE/GP1BA/SERPING1,3,,
GO:0001936,C1,GO:0001936,regulation of endothelial cell proliferation,5/87,181/18870,0.001504430700577599,0.020272203690283146,0.015034409435377455,APOE/FLT4/HSPG2/LRG1/NRP1,5,,
GO:0030593,C1,GO:0030593,neutrophil chemotaxis,4/87,107/18870,0.0015157260303224995,0.020297548579970865,0.015053205884667388,LBP/S100A8/S100A9/SAA1,4,,
GO:1905952,C1,GO:1905952,regulation of lipid localization,5/87,183/18870,0.0015790176197420802,0.020721035870635493,0.015367275406452162,ADIPOQ/APOE/CRP/PLTP/SPP1,5,,
GO:0034145,C1,GO:0034145,positive regulation of toll-like receptor 4 signaling pathway,2/87,13/18870,0.0015857935615282265,0.020721035870635493,0.015367275406452162,CD14/LBP,2,,
GO:0045916,C1,GO:0045916,negative regulation of complement activation,2/87,13/18870,0.0015857935615282265,0.020721035870635493,0.015367275406452162,C4BPA/SERPING1,2,,
GO:0070486,C1,GO:0070486,leukocyte aggregation,2/87,13/18870,0.0015857935615282265,0.020721035870635493,0.015367275406452162,S100A8/S100A9,2,,
GO:0032535,C1,GO:0032535,regulation of cellular component size,7/87,370/18870,0.0016039583748292273,0.020832134073083215,0.015449668810181333,APOE/CDH1/MEGF8/NRP1/OLFM1/SPP1/TMSB4X,7,,
GO:0031349,C1,GO:0031349,positive regulation of defense response,8/87,480/18870,0.0016670883238876714,0.021171404396696014,0.015701280772669295,CD14/COLEC11/HSPA8/LBP/MBL2/PVR/S100A8/S100A9,8,,
GO:0043086,C1,GO:0043086,negative regulation of catalytic activity,8/87,480/18870,0.0016670883238876714,0.021171404396696014,0.015701280772669295,ADIPOQ/APOE/CST3/GAPDH/SERPINA11/SERPINA3/SERPING1/TIMP1,8,,
GO:0042116,C1,GO:0042116,macrophage activation,4/87,110/18870,0.0016780092131945233,0.021171404396696014,0.015701280772669295,C1QA/CD93/FCGR3A/LBP,4,,
GO:0001974,C1,GO:0001974,blood vessel remodeling,3/87,51/18870,0.001680166113964826,0.021171404396696014,0.015701280772669295,CST3/FLNA/FLT4,3,,
GO:0010043,C1,GO:0010043,response to zinc ion,3/87,51/18870,0.001680166113964826,0.021171404396696014,0.015701280772669295,S100A8/SOD2/VCAM1,3,,
GO:0032102,C1,GO:0032102,negative regulation of response to external stimulus,8/87,481/18870,0.0016889988665267693,0.021171404396696014,0.015701280772669295,ADIPOQ/APOE/GP1BA/HSPA8/NRP1/SAA1/SERPING1/SPP1,8,,
GO:0045785,C1,GO:0045785,positive regulation of cell adhesion,8/87,482/18870,0.0017111374637828218,0.021249875630075393,0.015759477141921944,FLNA/GP1BA/IGFBP2/NID1/NRP1/PODXL/SAA1/VCAM1,8,,
GO:0050808,C1,GO:0050808,synapse organization,8/87,483/18870,0.0017335057987600485,0.021249875630075393,0.015759477141921944,APOE/C1QA/CDH1/FLNA/HSPA8/ITGB1/NRP1/TNC,8,,
GO:0001938,C1,GO:0001938,positive regulation of endothelial cell proliferation,4/87,111/18870,0.0017346837249041136,0.021249875630075393,0.015759477141921944,FLT4/HSPG2/LRG1/NRP1,4,,
GO:1905954,C1,GO:1905954,positive regulation of lipid localization,4/87,111/18870,0.0017346837249041136,0.021249875630075393,0.015759477141921944,ADIPOQ/APOE/PLTP/SPP1,4,,
GO:0006968,C1,GO:0006968,cellular defense response,3/87,52/18870,0.0017771327293584706,0.021405017678753423,0.015874534642137707,ITGB1/LBP/LGALS3BP,3,,
GO:0046365,C1,GO:0046365,monosaccharide catabolic process,3/87,52/18870,0.0017771327293584706,0.021405017678753423,0.015874534642137707,ENO1/PGK1/PKM,3,,
GO:0050819,C1,GO:0050819,negative regulation of coagulation,3/87,52/18870,0.0017771327293584706,0.021405017678753423,0.015874534642137707,APOE/GP1BA/SERPING1,3,,
GO:0001894,C1,GO:0001894,tissue homeostasis,6/87,279/18870,0.0018371607761824135,0.021613393162030824,0.016029071483802768,AZGP1/ITGB1/LYZ/SERPINA3/SPP1/VCL,6,,
GO:0060249,C1,GO:0060249,anatomical structure homeostasis,6/87,279/18870,0.0018371607761824135,0.021613393162030824,0.016029071483802768,AZGP1/ITGB1/LYZ/SERPINA3/SPP1/VCL,6,,
GO:0010745,C1,GO:0010745,negative regulation of macrophage derived foam cell differentiation,2/87,14/18870,0.001844556744811536,0.021613393162030824,0.016029071483802768,ADIPOQ/CRP,2,,
GO:0070141,C1,GO:0070141,response to UV-A,2/87,14/18870,0.001844556744811536,0.021613393162030824,0.016029071483802768,MMP2/TIMP1,2,,
GO:0098883,C1,GO:0098883,synapse pruning,2/87,14/18870,0.001844556744811536,0.021613393162030824,0.016029071483802768,C1QA/ITGB1,2,,
GO:1904645,C1,GO:1904645,response to amyloid-beta,3/87,53/18870,0.0018775278550729984,0.02188081111101289,0.016227395800033486,ICAM1/MMP2/VCAM1,3,,
GO:0031099,C1,GO:0031099,regeneration,5/87,191/18870,0.0019048281346089233,0.022079620743101283,0.016374838350146886,FLNA/HSPG2/MMP2/SPP1/TNC,5,,
GO:0031345,C1,GO:0031345,negative regulation of cell projection organization,5/87,192/18870,0.0019487645321373663,0.022468108723466104,0.01666295144563276,APOE/CDH1/FLNA/NRP1/SPP1,5,,
GO:0010874,C1,GO:0010874,regulation of cholesterol efflux,3/87,54/18870,0.0019813943005906,0.02272279846847518,0.01685183618475432,ADIPOQ/APOE/PLTP,3,,
GO:0042159,C1,GO:0042159,lipoprotein catabolic process,2/87,15/18870,0.0021219685948970185,0.024161046840570456,0.017918479714298663,APOE/CTSD,2,,
GO:0002697,C1,GO:0002697,regulation of immune effector process,7/87,389/18870,0.002129220268881441,0.024161046840570456,0.017918479714298663,C4BPA/COLEC11/ICAM1/LBP/MBL2/PVR/SERPING1,7,,
GO:0050830,C1,GO:0050830,defense response to Gram-positive bacterium,4/87,118/18870,0.002169154668437167,0.024485327042672943,0.01815897460102539,CRP/LBP/LYZ/MBL2,4,,
GO:0050832,C1,GO:0050832,defense response to fungus,3/87,56/18870,0.0021997084480997113,0.02470089278178634,0.018318843929075998,GAPDH/S100A8/S100A9,3,,
GO:1990748,C1,GO:1990748,cellular detoxification,4/87,119/18870,0.002236803652674251,0.024987298835055363,0.018531250332218092,APOE/GSTO1/S100A9/SOD2,4,,
GO:0030100,C1,GO:0030100,regulation of endocytosis,6/87,291/18870,0.002269120584840125,0.02521764938616139,0.018702084472990505,ADIPOQ/APOE/C2/CD14/COLEC11/MBL2,6,,
GO:0030810,C1,GO:0030810,positive regulation of nucleotide biosynthetic process,2/87,16/18870,0.0024178556517275977,0.02639447223785941,0.01957484783190531,ENO1/TMSB4X,2,,
GO:0034375,C1,GO:0034375,high-density lipoprotein particle remodeling,2/87,16/18870,0.0024178556517275977,0.02639447223785941,0.01957484783190531,APOE/PLTP,2,,
GO:1900373,C1,GO:1900373,positive regulation of purine nucleotide biosynthetic process,2/87,16/18870,0.0024178556517275977,0.02639447223785941,0.01957484783190531,ENO1/TMSB4X,2,,
GO:0001935,C1,GO:0001935,endothelial cell proliferation,5/87,202/18870,0.0024299283274544863,0.02639447223785941,0.01957484783190531,APOE/FLT4/HSPG2/LRG1/NRP1,5,,
