,Tumor type,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
R-HSA-9711123,discovery_tumor_LIHC,R-HSA-9711123,Cellular response to chemical stress,7/92,215/11009,0.0021139948312887927,0.03941058726956485,0.03475755918510698,GPX3/PSMA1/PSMB2/SOD2/SOD3/TALDO1/TKT,7.0,,
R-HSA-6798695,discovery_tumor_LIHC,R-HSA-6798695,Neutrophil degranulation,11/92,480/11009,0.002130302014571073,0.03941058726956485,0.03475755918510698,ADA2/AGA/BST1/CD93/CST3/CTSD/FCGR2A/FTL/FUCA1/FUCA2/PTPRJ,11.0,,
GO:0098742,discovery_tumor_LIHC,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,14/111,279/18870,1.005918709498152e-09,2.4775777814939485e-06,1.907010100848602e-06,ADIPOQ/ALCAM/CADM1/CDH1/CDH13/CDH2/CDH5/DSG2/ICAM1/ITGB1/PTPRF/PVR/ROBO4/UMOD,14.0,,
GO:0048771,discovery_tumor_LIHC,GO:0048771,tissue remodeling,10/111,184/18870,1.338389472610963e-07,0.0001648226635520401,0.0001268652336932813,ACE/AGT/AXL/CSF1R/CST3/FLNA/SPP1/TFRC/TIMP1/UMOD,10.0,,
GO:0001667,discovery_tumor_LIHC,GO:0001667,ameboidal-type cell migration,15/111,497/18870,2.204160710441449e-07,0.00018096159432724296,0.00013928748910544035,AGT/APOE/CALR/CD248/CDH13/CDH2/CDH5/ENPP2/GLIPR2/ITGB1/MMRN2/NRP1/PTPRG/SERPINF1/TIMP1,15.0,,
GO:0044409,discovery_tumor_LIHC,GO:0044409,entry into host,9/111,163/18870,5.108144132628492e-07,0.0002720903797562858,0.0002094299950599699,AXL/FUCA2/ICAM1/ITGB1/NCAM1/NRP1/PVR/SLC3A2/TFRC,9.0,,
GO:0007156,discovery_tumor_LIHC,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,9/111,168/18870,6.587610489807361e-07,0.0002720903797562858,0.0002094299950599699,CADM1/CDH1/CDH13/CDH2/CDH5/DSG2/ITGB1/PVR/ROBO4,9.0,,
GO:0007157,discovery_tumor_LIHC,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,6/111,53/18870,6.628267472747521e-07,0.0002720903797562858,0.0002094299950599699,ALCAM/CADM1/CDH2/ICAM1/PVR/UMOD,6.0,,
GO:0098883,discovery_tumor_LIHC,GO:0098883,synapse pruning,4/111,14/18870,1.0847099200797746e-06,0.00034432354308113904,0.0002650283997218332,C1QA/C1QB/C1QC/ITGB1,4.0,,
GO:0040013,discovery_tumor_LIHC,GO:0040013,negative regulation of locomotion,13/111,423/18870,1.2320135544924616e-06,0.00034432354308113904,0.0002650283997218332,ADIPOQ/APOE/CALR/CDH1/DDT/ENG/FBLN1/MMRN2/NRP1/PTPRG/PTPRJ/SERPINF1/TIMP1,13.0,,
GO:0006909,discovery_tumor_LIHC,GO:0006909,phagocytosis,10/111,237/18870,1.373934123185992e-06,0.00034432354308113904,0.0002650283997218332,ADIPOQ/AXL/CALR/CD93/COLEC11/ICAM3/ITGB1/LMAN2/MARCO/PTPRJ,10.0,,
GO:0007566,discovery_tumor_LIHC,GO:0007566,embryo implantation,6/111,60/18870,1.397984340564917e-06,0.00034432354308113904,0.0002650283997218332,CALR/FBLN1/HSPG2/IGFBP7/SPP1/TIMP1,6.0,,
GO:0044000,discovery_tumor_LIHC,GO:0044000,movement in host,9/111,188/18870,1.6836482092814391e-06,0.00037698413995092587,0.0002901675047766385,AXL/FUCA2/ICAM1/ITGB1/NCAM1/NRP1/PVR/SLC3A2/TFRC,9.0,,
GO:0010631,discovery_tumor_LIHC,GO:0010631,epithelial cell migration,12/111,372/18870,1.9721159129482846e-06,0.0004047767911326354,0.0003115597157210404,AGT/APOE/CALR/CDH13/CDH5/ENPP2/GLIPR2/ITGB1/MMRN2/NRP1/PTPRG/SERPINF1,12.0,,
GO:0090132,discovery_tumor_LIHC,GO:0090132,epithelium migration,12/111,375/18870,2.1431670716988748e-06,0.0004060477305841791,0.0003125379672979493,AGT/APOE/CALR/CDH13/CDH5/ENPP2/GLIPR2/ITGB1/MMRN2/NRP1/PTPRG/SERPINF1,12.0,,
GO:0090130,discovery_tumor_LIHC,GO:0090130,tissue migration,12/111,380/18870,2.457540143636581e-06,0.0004323515266983499,0.0003327841953901867,AGT/APOE/CALR/CDH13/CDH5/ENPP2/GLIPR2/ITGB1/MMRN2/NRP1/PTPRG/SERPINF1,12.0,,
GO:0006956,discovery_tumor_LIHC,GO:0006956,complement activation,6/111,67/18870,2.695243566173246e-06,0.000442558993565647,0.0003406409587844222,C1QA/C1QB/C1QC/C7/CD5L/COLEC11,6.0,,
GO:2000146,discovery_tumor_LIHC,GO:2000146,negative regulation of cell motility,12/111,388/18870,3.0457061839082493e-06,0.00045286880580144417,0.0003485764981722764,ADIPOQ/APOE/CALR/CDH1/DDT/ENG/FBLN1/MMRN2/PTPRG/PTPRJ/SERPINF1/TIMP1,12.0,,
GO:0044403,discovery_tumor_LIHC,GO:0044403,biological process involved in symbiotic interaction,11/111,322/18870,3.1257692645653882e-06,0.00045286880580144417,0.0003485764981722764,APOE/AXL/CSF1R/FUCA2/ICAM1/ITGB1/NCAM1/NRP1/PVR/SLC3A2/TFRC,11.0,,
GO:0046718,discovery_tumor_LIHC,GO:0046718,viral entry into host cell,8/111,156/18870,3.915766242872738e-06,0.0005358073475664197,0.0004124149124803393,AXL/ICAM1/ITGB1/NCAM1/NRP1/PVR/SLC3A2/TFRC,8.0,,
GO:0051701,discovery_tumor_LIHC,GO:0051701,biological process involved in interaction with host,9/111,211/18870,4.345323388316647e-06,0.0005632911318644158,0.00043356938628023715,AXL/FUCA2/ICAM1/ITGB1/NCAM1/NRP1/PVR/SLC3A2/TFRC,9.0,,
GO:0045216,discovery_tumor_LIHC,GO:0045216,cell-cell junction organization,9/111,214/18870,4.874412168274952e-06,0.000599225547129711,0.0004612283737763572,ACE/AGT/CDH1/CDH13/CDH2/CDH5/CSF1R/DSG2/FLNA,9.0,,
GO:0006098,discovery_tumor_LIHC,GO:0006098,pentose-phosphate shunt,4/111,20/18870,5.109109415235051e-06,0.000599225547129711,0.0004612283737763572,ALDOB/H6PD/TALDO1/TKT,4.0,,
GO:2001044,discovery_tumor_LIHC,GO:2001044,regulation of integrin-mediated signaling pathway,4/111,21/18870,6.282684566234392e-06,0.0007033750948470595,0.0005413930575975187,BST1/FLNA/LAMB1/TIMP1,4.0,,
GO:0031589,discovery_tumor_LIHC,GO:0031589,cell-substrate adhesion,11/111,356/18870,8.119808574249334e-06,0.000869525587755483,0.0006692803314518559,AXL/BST1/CALR/CDH13/FBLN1/FLNA/ITGB1/LAMB1/LYVE1/NRP1/PTPRJ,11.0,,
GO:0006740,discovery_tumor_LIHC,GO:0006740,NADPH regeneration,4/111,23/18870,9.211490570240313e-06,0.000945329219770912,0.0007276269525001229,ALDOB/H6PD/TALDO1/TKT,4.0,,
GO:0001974,discovery_tumor_LIHC,GO:0001974,blood vessel remodeling,5/111,51/18870,1.2179939915282586e-05,0.0011908347692906477,0.0009165944054073793,ACE/AGT/AXL/CST3/FLNA,5.0,,
GO:0030336,discovery_tumor_LIHC,GO:0030336,negative regulation of cell migration,11/111,373/18870,1.2572356028897913e-05,0.0011908347692906477,0.0009165944054073793,ADIPOQ/APOE/CALR/CDH1/DDT/ENG/MMRN2/PTPRG/PTPRJ/SERPINF1/TIMP1,11.0,,
GO:0007409,discovery_tumor_LIHC,GO:0007409,axonogenesis,12/111,448/18870,1.305421793375862e-05,0.0011908347692906477,0.0009165944054073793,ALCAM/APOE/CDH1/CDH2/CNTN1/CSF1R/ITGB1/NCAM1/NRP1/OLFM1/ROBO4/SPP1,12.0,,
GO:0007565,discovery_tumor_LIHC,GO:0007565,female pregnancy,8/111,186/18870,1.4245349321164082e-05,0.0012530819777866833,0.0009645065461434778,ACE/CALR/DSG2/FBLN1/HSPG2/IGFBP7/SPP1/TIMP1,8.0,,
GO:0150146,discovery_tumor_LIHC,GO:0150146,cell junction disassembly,4/111,27/18870,1.79284407862936e-05,0.0015226810226427977,0.0011720189421457268,C1QA/C1QB/C1QC/ITGB1,4.0,,
GO:0051156,discovery_tumor_LIHC,GO:0051156,glucose 6-phosphate metabolic process,4/111,29/18870,2.4044243413064582e-05,0.001955130547625075,0.0015048785675461076,ALDOB/H6PD/TALDO1/TKT,4.0,,
GO:0048762,discovery_tumor_LIHC,GO:0048762,mesenchymal cell differentiation,9/111,262/18870,2.460781444432697e-05,0.001955130547625075,0.0015048785675461076,AGT/CDH2/ENG/FLNA/GLIPR2/NCAM1/NRP1/OLFM1/VASN,9.0,,
GO:0034446,discovery_tumor_LIHC,GO:0034446,substrate adhesion-dependent cell spreading,6/111,100/18870,2.7513601282941544e-05,0.002117687498746407,0.0016299998654795303,AXL/CALR/FBLN1/FLNA/LAMB1/NRP1,6.0,,
GO:0044703,discovery_tumor_LIHC,GO:0044703,multi-organism reproductive process,8/111,206/18870,2.971052303231395e-05,0.002192299805038347,0.0016874295142312809,ACE/CALR/DSG2/FBLN1/HSPG2/IGFBP7/SPP1/TIMP1,8.0,,
GO:0003018,discovery_tumor_LIHC,GO:0003018,vascular process in circulatory system,9/111,269/18870,3.0263172298539912e-05,0.002192299805038347,0.0016874295142312809,ACE/AGT/APOE/CDH5/COMP/PTPRJ/SOD2/SOD3/TFRC,9.0,,
GO:0016049,discovery_tumor_LIHC,GO:0016049,cell growth,12/111,497/18870,3.622700272455842e-05,0.002530406311023641,0.0019476726141220923,AGT/ALCAM/APOE/CDH1/ENO1/HNF4A/IGFBP7/ITGB1/NRP1/OLFM1/PTPRJ/SPP1,12.0,,
GO:0018108,discovery_tumor_LIHC,GO:0018108,peptidyl-tyrosine phosphorylation,9/111,276/18870,3.698523231703251e-05,0.002530406311023641,0.0019476726141220923,ACE/ADIPOQ/AGT/BST1/CSF1R/EFEMP1/ENPP2/NRP1/PTPRJ,9.0,,
GO:0018212,discovery_tumor_LIHC,GO:0018212,peptidyl-tyrosine modification,9/111,278/18870,3.9123414854143305e-05,0.002591677151848137,0.0019948332373778215,ACE/ADIPOQ/AGT/BST1/CSF1R/EFEMP1/ENPP2/NRP1/PTPRJ,9.0,,
GO:0042060,discovery_tumor_LIHC,GO:0042060,wound healing,11/111,423/18870,3.9985274774758106e-05,0.002591677151848137,0.0019948332373778215,APOE/AXL/COMP/FBLN1/FLNA/GP1BA/HNF4A/ITGB1/MCAM/PROCR/TIMP1,11.0,,
GO:0044706,discovery_tumor_LIHC,GO:0044706,multi-multicellular organism process,8/111,216/18870,4.16250236224574e-05,0.0026287803380028864,0.0020233918365464448,ACE/CALR/DSG2/FBLN1/HSPG2/IGFBP7/SPP1/TIMP1,8.0,,
GO:0043542,discovery_tumor_LIHC,GO:0043542,endothelial cell migration,9/111,284/18870,4.617690711833909e-05,0.0028433430558117297,0.0021885423610560183,AGT/APOE/CALR/CDH13/CDH5/ITGB1/MMRN2/NRP1/SERPINF1,9.0,,
GO:0007229,discovery_tumor_LIHC,GO:0007229,integrin-mediated signaling pathway,6/111,111/18870,4.959779278517305e-05,0.002979496673899542,0.0022933408165878477,BST1/FLNA/ITGB1/LAMB1/NRP1/TIMP1,6.0,,
GO:0007596,discovery_tumor_LIHC,GO:0007596,blood coagulation,8/111,224/18870,5.381858305680093e-05,0.003156075477830969,0.0024292548392305384,APOE/AXL/COMP/FBLN1/FLNA/GP1BA/HNF4A/PROCR,8.0,,
GO:0050731,discovery_tumor_LIHC,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,7/111,168/18870,6.110147694122558e-05,0.0034278566759663046,0.002638446854890405,ACE/ADIPOQ/AGT/CSF1R/ENPP2/NRP1/PTPRJ,7.0,,
GO:0010632,discovery_tumor_LIHC,GO:0010632,regulation of epithelial cell migration,9/111,295/18870,6.191506123569087e-05,0.0034278566759663046,0.002638446854890405,AGT/APOE/CALR/ENPP2/GLIPR2/MMRN2/NRP1/PTPRG/SERPINF1,9.0,,
GO:0050817,discovery_tumor_LIHC,GO:0050817,coagulation,8/111,229/18870,6.285282590357818e-05,0.0034278566759663046,0.002638446854890405,APOE/AXL/COMP/FBLN1/FLNA/GP1BA/HNF4A/PROCR,8.0,,
GO:0002685,discovery_tumor_LIHC,GO:0002685,regulation of leukocyte migration,8/111,230/18870,6.480313067032872e-05,0.0034278566759663046,0.002638446854890405,BST1/CALR/CSF1R/DDT/GP1BA/ICAM1/LYVE1/PLA2G7,8.0,,
GO:0007599,discovery_tumor_LIHC,GO:0007599,hemostasis,8/111,231/18870,6.680354057912408e-05,0.0034278566759663046,0.002638446854890405,APOE/AXL/COMP/FBLN1/FLNA/GP1BA/HNF4A/PROCR,8.0,,
GO:0050730,discovery_tumor_LIHC,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,8/111,231/18870,6.680354057912408e-05,0.0034278566759663046,0.002638446854890405,ACE/ADIPOQ/AGT/BST1/CSF1R/ENPP2/NRP1/PTPRJ,8.0,,
GO:0045123,discovery_tumor_LIHC,GO:0045123,cellular extravasation,5/111,74/18870,7.502092973287246e-05,0.0037709499986135686,0.0029025283447669885,BST1/GP1BA/ICAM1/ITGB1/LYVE1,5.0,,
GO:0048675,discovery_tumor_LIHC,GO:0048675,axon extension,6/111,121/18870,8.02809555558139e-05,0.0039546398706793925,0.0030439158096004387,ALCAM/APOE/CDH1/ITGB1/NRP1/OLFM1,6.0,,
GO:0001837,discovery_tumor_LIHC,GO:0001837,epithelial to mesenchymal transition,7/111,178/18870,8.791868411862184e-05,0.004245955274199326,0.0032681434488676555,AGT/ENG/FLNA/GLIPR2/NCAM1/OLFM1/VASN,7.0,,
GO:0002691,discovery_tumor_LIHC,GO:0002691,regulation of cellular extravasation,4/111,41/18870,9.709976846648272e-05,0.0045242463358074435,0.0034823461550053236,BST1/GP1BA/ICAM1/LYVE1,4.0,,
GO:0070372,discovery_tumor_LIHC,GO:0070372,regulation of ERK1 and ERK2 cascade,9/111,313/18870,9.735487446114271e-05,0.0045242463358074435,0.0034823461550053236,ADIPOQ/APOE/CSF1R/DDT/FBLN1/GLIPR2/ICAM1/MARCO/NRP1,9.0,,
GO:0019362,discovery_tumor_LIHC,GO:0019362,pyridine nucleotide metabolic process,5/111,79/18870,0.00010254234871942348,0.0045333386367923355,0.003489344566900869,ALDOB/H6PD/LDHB/TALDO1/TKT,5.0,,
GO:0046496,discovery_tumor_LIHC,GO:0046496,nicotinamide nucleotide metabolic process,5/111,79/18870,0.00010254234871942348,0.0045333386367923355,0.003489344566900869,ALDOB/H6PD/LDHB/TALDO1/TKT,5.0,,
GO:0034374,discovery_tumor_LIHC,GO:0034374,low-density lipoprotein particle remodeling,3/111,16/18870,0.00010491283081492616,0.0045333386367923355,0.003489344566900869,AGT/APOE/PLA2G7,3.0,,
GO:0072378,discovery_tumor_LIHC,GO:0072378,"blood coagulation, fibrin clot formation",3/111,16/18870,0.00010491283081492616,0.0045333386367923355,0.003489344566900869,FBLN1/FLNA/GP1BA,3.0,,
GO:0006958,discovery_tumor_LIHC,GO:0006958,"complement activation, classical pathway",4/111,42/18870,0.0001068365542656913,0.0045368695371792705,0.0034920623272687848,C1QA/C1QB/C1QC/C7,4.0,,
GO:0050900,discovery_tumor_LIHC,GO:0050900,leukocyte migration,10/111,396/18870,0.00011589906136102199,0.004753451976767021,0.003658767446698466,BST1/CALR/CSF1R/DDT/GP1BA/ICAM1/ITGB1/LYVE1/PLA2G7/UMOD,10.0,,
GO:0019058,discovery_tumor_LIHC,GO:0019058,viral life cycle,9/111,321/18870,0.00011785994185320888,0.004753451976767021,0.003658767446698466,APOE/AXL/ICAM1/ITGB1/NCAM1/NRP1/PVR/SLC3A2/TFRC,9.0,,
GO:0030198,discovery_tumor_LIHC,GO:0030198,extracellular matrix organization,9/111,321/18870,0.00011785994185320888,0.004753451976767021,0.003658767446698466,AGT/COMP/CST3/ENG/FBLN1/ITGB1/LAMB1/LUM/TGFBI,9.0,,
GO:0043062,discovery_tumor_LIHC,GO:0043062,extracellular structure organization,9/111,322/18870,0.00012066039945517003,0.004753451976767021,0.003658767446698466,AGT/COMP/CST3/ENG/FBLN1/ITGB1/LAMB1/LUM/TGFBI,9.0,,
GO:0043086,discovery_tumor_LIHC,GO:0043086,negative regulation of catalytic activity,11/111,480/18870,0.0001234758521471297,0.004753451976767021,0.003658767446698466,ADIPOQ/AGT/AOC3/APOE/CST3/PTPRJ/SERPINA6/SERPINA7/SERPINF1/TIMP1/YWHAG,11.0,,
GO:0045229,discovery_tumor_LIHC,GO:0045229,external encapsulating structure organization,9/111,323/18870,0.00012351641352541183,0.004753451976767021,0.003658767446698466,AGT/COMP/CST3/ENG/FBLN1/ITGB1/LAMB1/LUM/TGFBI,9.0,,
GO:1900120,discovery_tumor_LIHC,GO:1900120,regulation of receptor binding,3/111,17/18870,0.00012684897871309152,0.004791922302348321,0.0036883783432824016,ADIPOQ/NRP1/PTPRF,3.0,,
GO:0006739,discovery_tumor_LIHC,GO:0006739,NADP metabolic process,4/111,44/18870,0.000128407174971575,0.004791922302348321,0.0036883783432824016,ALDOB/H6PD/TALDO1/TKT,4.0,,
GO:0060485,discovery_tumor_LIHC,GO:0060485,mesenchyme development,9/111,327/18870,0.00013551361074648578,0.004970497661316197,0.0038258291292307075,AGT/CDH2/ENG/FLNA/GLIPR2/NCAM1/NRP1/OLFM1/VASN,9.0,,
GO:0048678,discovery_tumor_LIHC,GO:0048678,response to axon injury,5/111,84/18870,0.00013722851846102371,0.004970497661316197,0.0038258291292307075,AXL/FLNA/PTPRF/SOD2/SPP1,5.0,,
GO:0072524,discovery_tumor_LIHC,GO:0072524,pyridine-containing compound metabolic process,5/111,85/18870,0.0001451277174317103,0.005180428522236268,0.003987414478939897,ALDOB/H6PD/LDHB/TALDO1/TKT,5.0,,
GO:0070371,discovery_tumor_LIHC,GO:0070371,ERK1 and ERK2 cascade,9/111,336/18870,0.00016611013087289696,0.005773957466939255,0.004444258135332436,ADIPOQ/APOE/CSF1R/DDT/FBLN1/GLIPR2/ICAM1/MARCO/NRP1,9.0,,
GO:0016339,discovery_tumor_LIHC,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,4/111,47/18870,0.00016644375970470448,0.005773957466939255,0.004444258135332436,CDH1/CDH13/CDH2/CDH5,4.0,,
GO:0001558,discovery_tumor_LIHC,GO:0001558,regulation of cell growth,10/111,417/18870,0.0001764021642579714,0.005936043153887785,0.004569016697716478,AGT/APOE/CDH1/ENO1/HNF4A/IGFBP7/NRP1/OLFM1/PTPRJ/SPP1,10.0,,
GO:0010977,discovery_tumor_LIHC,GO:0010977,negative regulation of neuron projection development,6/111,140/18870,0.0001790699629958343,0.005936043153887785,0.004569016697716478,APOE/CDH1/FLNA/NRP1/PTPRG/SPP1,6.0,,
GO:0072376,discovery_tumor_LIHC,GO:0072376,protein activation cascade,3/111,19/18870,0.0001792165895715929,0.005936043153887785,0.004569016697716478,FBLN1/FLNA/GP1BA,3.0,,
GO:0044331,discovery_tumor_LIHC,GO:0044331,cell-cell adhesion mediated by cadherin,4/111,48/18870,0.00018075649067867796,0.005936043153887785,0.004569016697716478,CDH1/CDH13/CDH2/CDH5,4.0,,
GO:0035296,discovery_tumor_LIHC,GO:0035296,regulation of tube diameter,6/111,146/18870,0.00022489358607457224,0.007193674058463266,0.005537024586743741,ACE/AGT/APOE/COMP/SOD2/SOD3,6.0,,
GO:0097746,discovery_tumor_LIHC,GO:0097746,blood vessel diameter maintenance,6/111,146/18870,0.00022489358607457224,0.007193674058463266,0.005537024586743741,ACE/AGT/APOE/COMP/SOD2/SOD3,6.0,,
GO:0043407,discovery_tumor_LIHC,GO:0043407,negative regulation of MAP kinase activity,4/111,51/18870,0.00022902203897930853,0.007214732180397922,0.005553233180287906,ADIPOQ/AGT/APOE/PTPRJ,4.0,,
GO:0035150,discovery_tumor_LIHC,GO:0035150,regulation of tube size,6/111,147/18870,0.0002333545323882411,0.007214732180397922,0.005553233180287906,ACE/AGT/APOE/COMP/SOD2/SOD3,6.0,,
GO:0016032,discovery_tumor_LIHC,GO:0016032,viral process,10/111,432/18870,0.00023433965669177173,0.007214732180397922,0.005553233180287906,APOE/AXL/CSF1R/ICAM1/ITGB1/NCAM1/NRP1/PVR/SLC3A2/TFRC,10.0,,
GO:0009410,discovery_tumor_LIHC,GO:0009410,response to xenobiotic stimulus,10/111,434/18870,0.00024315280618148903,0.007393646439814908,0.005690944820440048,ACE/ADIPOQ/CALR/CDH1/ENG/HNF4A/HSPG2/SOD2/TFRC/UMOD,10.0,,
GO:0006968,discovery_tumor_LIHC,GO:0006968,cellular defense response,4/111,52/18870,0.0002469894715283557,0.0074187203460285385,0.00571024439310101,CD5L/ITGB1/LGALS3BP/UMOD,4.0,,
GO:0002064,discovery_tumor_LIHC,GO:0002064,epithelial cell development,7/111,214/18870,0.0002740227812227369,0.008131543495802421,0.00625890968905706,ADIPOQ/CDH2/CDH5/FLNA/ICAM1/PODXL/ROBO4,7.0,,
GO:0050878,discovery_tumor_LIHC,GO:0050878,regulation of body fluid levels,9/111,365/18870,0.00030654406645090073,0.008694448929922615,0.00669218220090631,APOE/AXL/COMP/FBLN1/FLNA/GP1BA/HNF4A/PROCR/UMOD,9.0,,
GO:0070374,discovery_tumor_LIHC,GO:0070374,positive regulation of ERK1 and ERK2 cascade,7/111,218/18870,0.00030658496629657,0.008694448929922615,0.00669218220090631,APOE/CSF1R/DDT/GLIPR2/ICAM1/MARCO/NRP1,7.0,,
GO:0002455,discovery_tumor_LIHC,GO:0002455,humoral immune response mediated by circulating immunoglobulin,4/111,55/18870,0.00030696830325765604,0.008694448929922615,0.00669218220090631,C1QA/C1QB/C1QC/C7,4.0,,
GO:0045807,discovery_tumor_LIHC,GO:0045807,positive regulation of endocytosis,6/111,155/18870,0.00031044143066246685,0.008694448929922615,0.00669218220090631,APOE/AXL/CALR/COLEC11/LMAN2/PTPRJ,6.0,,
GO:0050764,discovery_tumor_LIHC,GO:0050764,regulation of phagocytosis,5/111,100/18870,0.00031064210549459605,0.008694448929922615,0.00669218220090631,ADIPOQ/CALR/COLEC11/LMAN2/PTPRJ,5.0,,
GO:0010810,discovery_tumor_LIHC,GO:0010810,regulation of cell-substrate adhesion,7/111,220/18870,0.00032399354477141636,0.008809103448013047,0.006780432638789451,BST1/CALR/CDH13/FBLN1/FLNA/NRP1/PTPRJ,7.0,,
GO:0030100,discovery_tumor_LIHC,GO:0030100,regulation of endocytosis,8/111,291/18870,0.00032509787015855377,0.008809103448013047,0.006780432638789451,ADIPOQ/APOE/AXL/CALR/CDH13/COLEC11/LMAN2/PTPRJ,8.0,,
GO:0002449,discovery_tumor_LIHC,GO:0002449,lymphocyte mediated immunity,9/111,368/18870,0.00032546829629280847,0.008809103448013047,0.006780432638789451,C1QA/C1QB/C1QC/C7/CADM1/FCGR3A/ICAM1/PVR/TFRC,9.0,,
GO:0007043,discovery_tumor_LIHC,GO:0007043,cell-cell junction assembly,6/111,157/18870,0.00033252201856686286,0.008902192736197644,0.006852084158340046,ACE/AGT/CDH1/CDH13/CDH2/CDH5,6.0,,
GO:0010975,discovery_tumor_LIHC,GO:0010975,regulation of neuron projection development,10/111,453/18870,0.00034168397801556037,0.009049114385508874,0.006965170847832759,APOE/CDH1/CDH2/CNTN1/FLNA/NRP1/PTPRF/PTPRG/SERPINF1/SPP1,10.0,,
GO:0034332,discovery_tumor_LIHC,GO:0034332,adherens junction organization,4/111,57/18870,0.0003523368885628706,0.009231976133301598,0.007105920899235498,CDH1/CDH13/CDH2/CDH5,4.0,,
GO:0045936,discovery_tumor_LIHC,GO:0045936,negative regulation of phosphate metabolic process,9/111,376/18870,0.00038071456474890784,0.009774524726832037,0.007523524599023228,ADIPOQ/AGT/ALDOB/APOE/CADM1/ENG/FBLN1/PTPRJ/YWHAG,9.0,,
GO:0001666,discovery_tumor_LIHC,GO:0001666,response to hypoxia,8/111,298/18870,0.0003809802573186665,0.009774524726832037,0.007523524599023228,ACE/ADIPOQ/ENO1/HSPG2/SOD2/SOD3/TFRC/VASN,8.0,,
GO:0010563,discovery_tumor_LIHC,GO:0010563,negative regulation of phosphorus metabolic process,9/111,377/18870,0.0003881345478916929,0.009855416406775666,0.007585787528518057,ADIPOQ/AGT/ALDOB/APOE/CADM1/ENG/FBLN1/PTPRJ/YWHAG,9.0,,
GO:0010718,discovery_tumor_LIHC,GO:0010718,positive regulation of epithelial to mesenchymal transition,4/111,59/18870,0.00040231278220771716,0.010111187577322524,0.007782656506510189,AGT/ENG/GLIPR2/OLFM1,4.0,,
GO:0008211,discovery_tumor_LIHC,GO:0008211,glucocorticoid metabolic process,3/111,25/18870,0.0004145936394225385,0.010314587211088003,0.00793921472195632,DKK3/H6PD/SERPINA6,3.0,,
GO:0002443,discovery_tumor_LIHC,GO:0002443,leukocyte mediated immunity,10/111,466/18870,0.00042676023332050564,0.010511104546684054,0.008090475581160323,ACE/C1QA/C1QB/C1QC/C7/CADM1/FCGR3A/ICAM1/PVR/TFRC,10.0,,
GO:0001933,discovery_tumor_LIHC,GO:0001933,negative regulation of protein phosphorylation,8/111,304/18870,0.0004348964338873431,0.010605444719450753,0.00816308991590521,ADIPOQ/AGT/APOE/CADM1/ENG/FBLN1/PTPRJ/YWHAG,8.0,,
GO:0050920,discovery_tumor_LIHC,GO:0050920,regulation of chemotaxis,7/111,232/18870,0.00044585483670875613,0.010766082968761435,0.008286734374741691,BST1/CALR/CDH13/CSF1R/DDT/NRP1/PLA2G7,7.0,,
GO:1900024,discovery_tumor_LIHC,GO:1900024,regulation of substrate adhesion-dependent cell spreading,4/111,61/18870,0.00045715707637344736,0.010834042227692537,0.008339043123308871,CALR/FBLN1/FLNA/NRP1,4.0,,
GO:0019318,discovery_tumor_LIHC,GO:0019318,hexose metabolic process,7/111,233/18870,0.0004574666632886821,0.010834042227692537,0.008339043123308871,ADIPOQ/ALDOB/ENO1/FUCA1/FUCA2/GOT1/H6PD,7.0,,
GO:0061387,discovery_tumor_LIHC,GO:0061387,regulation of extent of cell growth,5/111,109/18870,0.00046229238173063733,0.010844058440024378,0.008346752676660431,APOE/CDH1/NRP1/OLFM1/SPP1,5.0,,
GO:0019932,discovery_tumor_LIHC,GO:0019932,second-messenger-mediated signaling,8/111,310/18870,0.0004948643376373654,0.011498593052838027,0.008850552850892701,ADGRG6/AGT/APOE/BST1/CAMKK2/CDH13/FCGR3A/PTPRJ,8.0,,
GO:0010717,discovery_tumor_LIHC,GO:0010717,regulation of epithelial to mesenchymal transition,5/111,111/18870,0.000502460758850409,0.011565989243444461,0.00890242820156996,AGT/ENG/GLIPR2/OLFM1/VASN,5.0,,
GO:0051897,discovery_tumor_LIHC,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,6/111,171/18870,0.0005237015346225809,0.011943304442364971,0.009192850524905148,AGT/AXL/CSF1R/ENG/ITGB1/PTPRJ,6.0,,
GO:0048588,discovery_tumor_LIHC,GO:0048588,developmental cell growth,7/111,239/18870,0.0005323135663809575,0.012028333155929343,0.009258297760039638,ALCAM/APOE/CDH1/ITGB1/NRP1/OLFM1/SPP1,7.0,,
GO:0036293,discovery_tumor_LIHC,GO:0036293,response to decreased oxygen levels,8/111,315/18870,0.0005498178046351302,0.012245308240366256,0.009425305101138802,ACE/ADIPOQ/ENO1/HSPG2/SOD2/SOD3/TFRC/VASN,8.0,,
