Protein cluster,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
2,GO:0034369,GO:0034369,plasma lipoprotein particle remodeling,5/33,33/18870,2.7304065794512905e-09,4.7168157104535235e-07,3.0960345104912727e-07,APOC1/APOC2/APOC3/APOE/LCAT,5,,
2,GO:0034367,GO:0034367,protein-containing complex remodeling,5/33,35/18870,3.72545860093989e-09,4.7168157104535235e-07,3.0960345104912727e-07,APOC1/APOC2/APOC3/APOE/LCAT,5,,
2,GO:0034370,GO:0034370,triglyceride-rich lipoprotein particle remodeling,4/33,12/18870,3.797760198525996e-09,4.7168157104535235e-07,3.0960345104912727e-07,APOC2/APOC3/APOE/LCAT,4,,
2,GO:0034372,GO:0034372,very-low-density lipoprotein particle remodeling,4/33,12/18870,3.797760198525996e-09,4.7168157104535235e-07,3.0960345104912727e-07,APOC2/APOC3/APOE/LCAT,4,,
2,GO:0015918,GO:0015918,sterol transport,7/33,141/18870,4.066220440046141e-09,4.7168157104535235e-07,3.0960345104912727e-07,APOC1/APOC2/APOC3/APOE/CLU/LCAT/PON1,7,,
2,GO:0033700,GO:0033700,phospholipid efflux,4/33,14/18870,7.66103946613963e-09,7.998125202649775e-07,5.249828097323053e-07,APOC1/APOC2/APOC3/APOE,4,,
2,GO:0097006,GO:0097006,regulation of plasma lipoprotein particle levels,6/33,91/18870,1.0614590013599424e-08,1.0074210885634363e-06,6.612534065888254e-07,APOC1/APOC2/APOC3/APOE/GPLD1/LCAT,6,,
2,GO:0034375,GO:0034375,high-density lipoprotein particle remodeling,4/33,16/18870,1.389492824065308e-08,1.2088587569368179e-06,7.934735337425575e-07,APOC1/APOC3/APOE/LCAT,4,,
2,GO:0034384,GO:0034384,high-density lipoprotein particle clearance,4/33,18/18870,2.330438576036679e-08,1.779825059060645e-06,1.1682457284215367e-06,APOC2/APOC3/APOE/GPLD1,4,,
2,GO:0071827,GO:0071827,plasma lipoprotein particle organization,5/33,50/18870,2.386738584947225e-08,1.779825059060645e-06,1.1682457284215367e-06,APOC1/APOC2/APOC3/APOE/LCAT,5,,
2,GO:0071825,GO:0071825,protein-lipid complex organization,5/33,53/18870,3.2206543172928885e-08,2.2415754048358504e-06,1.4713304986369615e-06,APOC1/APOC2/APOC3/APOE/LCAT,5,,
2,GO:0034381,GO:0034381,plasma lipoprotein particle clearance,5/33,55/18870,3.894565244782999e-08,2.541203822220907e-06,1.6680012989169295e-06,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0051346,GO:0051346,negative regulation of hydrolase activity,7/33,218/18870,8.255568247703581e-08,5.069890147413258e-06,3.3277863339040446e-06,APOC1/APOC3/FETUB/SERPINA4/SERPINA5/SERPIND1/SERPINF2,7,,
2,GO:0007596,GO:0007596,blood coagulation,7/33,224/18870,9.937282701082513e-08,5.763623966627857e-06,3.783140958131413e-06,APOE/F2/F7/F9/PROC/SERPIND1/SERPINF2,7,,
2,GO:0030193,GO:0030193,regulation of blood coagulation,5/33,68/18870,1.1483728701957519e-07,6.030043911572555e-06,3.958014303724272e-06,APOE/F2/F7/PROC/SERPINF2,5,,
2,GO:0050817,GO:0050817,coagulation,7/33,229/18870,1.1551808259717538e-07,6.030043911572555e-06,3.958014303724272e-06,APOE/F2/F7/F9/PROC/SERPIND1/SERPINF2,7,,
2,GO:0007599,GO:0007599,hemostasis,7/33,231/18870,1.225694664509254e-07,6.0371746837501215e-06,3.962694816617594e-06,APOE/F2/F7/F9/PROC/SERPIND1/SERPINF2,7,,
2,GO:0034377,GO:0034377,plasma lipoprotein particle assembly,4/33,27/18870,1.3218569689824194e-07,6.0371746837501215e-06,3.962694816617594e-06,APOC1/APOC3/APOE/LCAT,4,,
2,GO:1900046,GO:1900046,regulation of hemostasis,5/33,70/18870,1.3300289054238774e-07,6.0371746837501215e-06,3.962694816617594e-06,APOE/F2/F7/PROC/SERPINF2,5,,
2,GO:0008203,GO:0008203,cholesterol metabolic process,6/33,140/18870,1.4065743717177403e-07,6.1185985169721705e-06,4.016139982404601e-06,APOC1/APOE/APOF/APOL1/LCAT/PON1,6,,
2,GO:0033344,GO:0033344,cholesterol efflux,5/33,73/18870,1.644499061824811e-07,6.603296232865779e-06,4.334287001003854e-06,APOC1/APOC2/APOC3/APOE/PON1,5,,
2,GO:0050818,GO:0050818,regulation of coagulation,5/33,73/18870,1.644499061824811e-07,6.603296232865779e-06,4.334287001003854e-06,APOE/F2/F7/PROC/SERPINF2,5,,
2,GO:0065005,GO:0065005,protein-lipid complex assembly,4/33,30/18870,2.056526263474857e-07,7.894437193476074e-06,5.18176911973475e-06,APOC1/APOC3/APOE/LCAT,4,,
2,GO:1902652,GO:1902652,secondary alcohol metabolic process,6/33,150/18870,2.117282005913123e-07,7.894437193476074e-06,5.18176911973475e-06,APOC1/APOE/APOF/APOL1/LCAT/PON1,6,,
2,GO:0016125,GO:0016125,sterol metabolic process,6/33,154/18870,2.4738461484898657e-07,8.787444254594323e-06,5.76792317981539e-06,APOC1/APOE/APOF/APOL1/LCAT/PON1,6,,
2,GO:0032371,GO:0032371,regulation of sterol transport,5/33,80/18870,2.609298581345057e-07,8.787444254594323e-06,5.76792317981539e-06,APOC1/APOC2/APOC3/APOE/PON1,5,,
2,GO:0032374,GO:0032374,regulation of cholesterol transport,5/33,80/18870,2.609298581345057e-07,8.787444254594323e-06,5.76792317981539e-06,APOC1/APOC2/APOC3/APOE/PON1,5,,
2,GO:0010984,GO:0010984,regulation of lipoprotein particle clearance,4/33,36/18870,4.387841630232858e-07,1.43153333186347e-05,9.396331912110497e-06,APOC1/APOC2/APOC3/GPLD1,4,,
2,GO:0042060,GO:0042060,wound healing,8/33,423/18870,5.068625817431536e-07,1.6035288949692496e-05,1.0525280405575536e-05,APOE/F2/F7/F9/FN1/PROC/SERPIND1/SERPINF2,8,,
2,GO:1905952,GO:1905952,regulation of lipid localization,6/33,183/18870,6.82806728194611e-07,2.096618306574041e-05,1.3761832199835659e-05,APOC1/APOC2/APOC3/APOC4/APOE/PON1,6,,
2,GO:1990000,GO:1990000,amyloid fibril formation,4/33,42/18870,8.276367527223472e-07,2.468722199548944e-05,1.620425642172175e-05,APOE/CAMP/CLU/GSN,4,,
2,GO:0015850,GO:0015850,organic hydroxy compound transport,7/33,308/18870,8.557435732965535e-07,2.4816563625600054e-05,1.6289153982925626e-05,APOC1/APOC2/APOC3/APOE/CLU/LCAT/PON1,7,,
2,GO:0055090,GO:0055090,acylglycerol homeostasis,4/33,43/18870,9.114007426336444e-07,2.5039536192355915e-05,1.6435509236966832e-05,APOC2/APOC3/APOC4/APOE,4,,
2,GO:0070328,GO:0070328,triglyceride homeostasis,4/33,43/18870,9.114007426336444e-07,2.5039536192355915e-05,1.6435509236966832e-05,APOC2/APOC3/APOC4/APOE,4,,
2,GO:0090207,GO:0090207,regulation of triglyceride metabolic process,4/33,44/18870,1.0013083297972398e-06,2.6804253751495344e-05,1.7593838669311826e-05,APOC2/APOC3/APOE/GPLD1,4,,
2,GO:0006641,GO:0006641,triglyceride metabolic process,5/33,106/18870,1.0650923600841299e-06,2.7798910598195792e-05,1.8246713853020225e-05,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0044403,GO:0044403,biological process involved in symbiotic interaction,7/33,322/18870,1.1518243097619846e-06,2.932937998515883e-05,1.925128692310788e-05,APOE/APOL1/CAMP/F2/FN1/GSN/PGLYRP2,7,,
2,GO:0043086,GO:0043086,negative regulation of catalytic activity,8/33,480/18870,1.3120420046606334e-06,3.261361554442146e-05,2.1407001128673493e-05,APOC1/APOC3/APOE/FETUB/SERPINA4/SERPINA5/SERPIND1/SERPINF2,8,,
2,GO:0010896,GO:0010896,regulation of triglyceride catabolic process,3/33,13/18870,1.3770939083935352e-06,3.31340162810767e-05,2.1748582979412113e-05,APOC2/APOC3/GPLD1,3,,
2,GO:0045833,GO:0045833,negative regulation of lipid metabolic process,5/33,112/18870,1.3995139181546182e-06,3.31340162810767e-05,2.1748582979412113e-05,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0030195,GO:0030195,negative regulation of blood coagulation,4/33,48/18870,1.4281903569429612e-06,3.31340162810767e-05,2.1748582979412113e-05,APOE/F2/PROC/SERPINF2,4,,
2,GO:1900047,GO:1900047,negative regulation of hemostasis,4/33,49/18870,1.5532288544377717e-06,3.525154182680508e-05,2.3138489341853308e-05,APOE/F2/PROC/SERPINF2,4,,
2,GO:0050819,GO:0050819,negative regulation of coagulation,4/33,52/18870,1.9773312702525503e-06,4.3921996726460904e-05,2.8829622775686687e-05,APOE/F2/PROC/SERPINF2,4,,
2,GO:0051702,GO:0051702,biological process involved in interaction with symbiont,5/33,121/18870,2.0508423855166065e-06,4.460582188498619e-05,2.927847353007261e-05,APOE/APOL1/CAMP/F2/FN1,5,,
2,GO:0090209,GO:0090209,negative regulation of triglyceride metabolic process,3/33,15/18870,2.1856109933627705e-06,4.6566895450423115e-05,3.056568757635153e-05,APOC3/APOE/GPLD1,3,,
2,GO:0050878,GO:0050878,regulation of body fluid levels,7/33,365/18870,2.649003907585181e-06,5.432469853016062e-05,3.565777247744965e-05,APOE/F2/F7/F9/PROC/SERPIND1/SERPINF2,7,,
2,GO:0051004,GO:0051004,regulation of lipoprotein lipase activity,3/33,16/18870,2.686776239160195e-06,5.432469853016062e-05,3.565777247744965e-05,APOC1/APOC2/APOC3,3,,
2,GO:0010951,GO:0010951,negative regulation of endopeptidase activity,5/33,128/18870,2.7058278961382684e-06,5.432469853016062e-05,3.565777247744965e-05,FETUB/SERPINA4/SERPINA5/SERPIND1/SERPINF2,5,,
2,GO:0045861,GO:0045861,negative regulation of proteolysis,6/33,235/18870,2.9253893393820207e-06,5.762465038329867e-05,3.782380258068909e-05,F2/FETUB/SERPINA4/SERPINA5/SERPIND1/SERPINF2,6,,
2,GO:0061041,GO:0061041,regulation of wound healing,5/33,133/18870,3.2668079274008218e-06,6.315828659641588e-05,4.14559836401157e-05,APOE/F2/F7/PROC/SERPINF2,5,,
2,GO:0006639,GO:0006639,acylglycerol metabolic process,5/33,134/18870,3.3892262565485314e-06,6.433367657884848e-05,4.222748886149462e-05,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0006638,GO:0006638,neutral lipid metabolic process,5/33,135/18870,3.515222726375097e-06,6.438407940939651e-05,4.226057238910782e-05,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0042157,GO:0042157,lipoprotein metabolic process,5/33,135/18870,3.515222726375097e-06,6.438407940939651e-05,4.226057238910782e-05,APOC1/APOC3/APOE/APOL1/LCAT,5,,
2,GO:0050994,GO:0050994,regulation of lipid catabolic process,4/33,61/18870,3.7695830869398234e-06,6.685583348352662e-05,4.388298810019746e-05,APOC1/APOC2/APOC3/GPLD1,4,,
2,GO:0010466,GO:0010466,negative regulation of peptidase activity,5/33,137/18870,3.7782511259847422e-06,6.685583348352662e-05,4.388298810019746e-05,FETUB/SERPINA4/SERPINA5/SERPIND1/SERPINF2,5,,
2,GO:0046486,GO:0046486,glycerolipid metabolic process,7/33,390/18870,4.100825280347223e-06,7.135435987804168e-05,4.683574135975513e-05,APOC1/APOC2/APOC3/APOE/GPLD1/LCAT/PON1,7,,
2,GO:0046503,GO:0046503,glycerolipid catabolic process,4/33,65/18870,4.866550150655244e-06,8.328980913580451e-05,5.466995941460853e-05,APOC1/APOC2/APOC3/GPLD1,4,,
2,GO:0010985,GO:0010985,negative regulation of lipoprotein particle clearance,3/33,21/18870,6.3431563511474365e-06,0.0001068105682354504,7.010857019689273e-05,APOC1/APOC2/APOC3,3,,
2,GO:0032368,GO:0032368,regulation of lipid transport,5/33,153/18870,6.485146475653908e-06,0.00010746814159655048,7.054018973518287e-05,APOC1/APOC2/APOC3/APOE/PON1,5,,
2,GO:0061045,GO:0061045,negative regulation of wound healing,4/33,75/18870,8.629841126197633e-06,0.0001407742833710989,9.240175284793848e-05,APOE/F2/PROC/SERPINF2,4,,
2,GO:0046470,GO:0046470,phosphatidylcholine metabolic process,4/33,76/18870,9.098081110825955e-06,0.00014612917968772764,9.591661219672384e-05,APOC1/GPLD1/LCAT/PON1,4,,
2,GO:0052548,GO:0052548,regulation of endopeptidase activity,6/33,288/18870,9.395242769243763e-06,0.00014861565834985589,9.754869286726779e-05,FETUB/GSN/SERPINA4/SERPINA5/SERPIND1/SERPINF2,6,,
2,GO:0030100,GO:0030100,regulation of endocytosis,6/33,291/18870,9.96641390355155e-06,0.0001552975539598182,0.00010193457111095145,APOC1/APOC2/APOC3/APOE/CLU/COLEC11,6,,
2,GO:1903034,GO:1903034,regulation of response to wounding,5/33,173/18870,1.1783423176907045e-05,0.00018091020289251404,0.0001187462614267258,APOE/F2/F7/PROC/SERPINF2,5,,
2,GO:0055088,GO:0055088,lipid homeostasis,5/33,175/18870,1.2457948807165649e-05,0.00018849418195189763,0.00012372425131143916,APOC2/APOC3/APOC4/APOE/LCAT,5,,
2,GO:0050995,GO:0050995,negative regulation of lipid catabolic process,3/33,27/18870,1.385072979402502e-05,0.00020657374149945886,0.00013559135482571862,APOC1/APOC3/GPLD1,3,,
2,GO:0052547,GO:0052547,regulation of peptidase activity,6/33,312/18870,1.4803809539593145e-05,0.0002156811310224728,0.0001415692844279389,FETUB/GSN/SERPINA4/SERPINA5/SERPIND1/SERPINF2,6,,
2,GO:0019433,GO:0019433,triglyceride catabolic process,3/33,28/18870,1.5494334125177644e-05,0.0002156811310224728,0.0001415692844279389,APOC2/APOC3/GPLD1,3,,
2,GO:0030194,GO:0030194,positive regulation of blood coagulation,3/33,28/18870,1.5494334125177644e-05,0.0002156811310224728,0.0001415692844279389,F2/F7/SERPINF2,3,,
2,GO:0051873,GO:0051873,killing by host of symbiont cells,3/33,28/18870,1.5494334125177644e-05,0.0002156811310224728,0.0001415692844279389,APOL1/CAMP/F2,3,,
2,GO:1900048,GO:1900048,positive regulation of hemostasis,3/33,28/18870,1.5494334125177644e-05,0.0002156811310224728,0.0001415692844279389,F2/F7/SERPINF2,3,,
2,GO:0046890,GO:0046890,regulation of lipid biosynthetic process,5/33,189/18870,1.8067490176441275e-05,0.00024819025979216697,0.00016290770228342483,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0050820,GO:0050820,positive regulation of coagulation,3/33,30/18870,1.9156651186118317e-05,0.0002583815315316426,0.00016959707302591182,F2/F7/SERPINF2,3,,
2,GO:0008202,GO:0008202,steroid metabolic process,6/33,327/18870,1.9304367298341115e-05,0.0002583815315316426,0.00016959707302591182,APOC1/APOE/APOF/APOL1/LCAT/PON1,6,,
2,GO:0032372,GO:0032372,negative regulation of sterol transport,3/33,31/18870,2.118388209438319e-05,0.0002764496613317007,0.000181456674255835,APOC1/APOC2/APOC3,3,,
2,GO:0032375,GO:0032375,negative regulation of cholesterol transport,3/33,31/18870,2.118388209438319e-05,0.0002764496613317007,0.000181456674255835,APOC1/APOC2/APOC3,3,,
2,GO:1903035,GO:1903035,negative regulation of response to wounding,4/33,97/18870,2.3944179026901607e-05,0.0003086138630133985,0.00020256868806384597,APOE/F2/PROC/SERPINF2,4,,
2,GO:0019216,GO:0019216,regulation of lipid metabolic process,6/33,342/18870,2.485199193655569e-05,0.0003164082875824895,0.00020768481066364255,APOC1/APOC2/APOC3/APOE/F2/GPLD1,6,,
2,GO:0042632,GO:0042632,cholesterol homeostasis,4/33,100/18870,2.6998310143974218e-05,0.00033959320229288054,0.00022290297912146124,APOC2/APOC3/APOE/LCAT,4,,
2,GO:0055092,GO:0055092,sterol homeostasis,4/33,101/18870,2.8077100006510166e-05,0.00034514057704395355,0.00022654417791451276,APOC2/APOC3/APOE/LCAT,4,,
2,GO:0030212,GO:0030212,hyaluronan metabolic process,3/33,34/18870,2.8100525908751005e-05,0.00034514057704395355,0.00022654417791451276,ITIH1/ITIH2/ITIH5,3,,
2,GO:0015914,GO:0015914,phospholipid transport,4/33,103/18870,3.0329164357794075e-05,0.0003681819487155467,0.000241668127257331,APOC1/APOC2/APOC3/APOE,4,,
2,GO:0048261,GO:0048261,negative regulation of receptor-mediated endocytosis,3/33,37/18870,3.6357253549775343e-05,0.0004362870425973041,0.0002863711078149274,APOC1/APOC2/APOC3,3,,
2,GO:0046461,GO:0046461,neutral lipid catabolic process,3/33,38/18870,3.9426575471760046e-05,0.0004624870201406459,0.0003035683102556569,APOC2/APOC3/GPLD1,3,,
2,GO:0046464,GO:0046464,acylglycerol catabolic process,3/33,38/18870,3.9426575471760046e-05,0.0004624870201406459,0.0003035683102556569,APOC2/APOC3/GPLD1,3,,
2,GO:0006066,GO:0006066,alcohol metabolic process,6/33,373/18870,4.040339614491295e-05,0.0004686793952809902,0.0003076328759103898,APOC1/APOE/APOF/APOL1/LCAT/PON1,6,,
2,GO:0030203,GO:0030203,glycosaminoglycan metabolic process,4/33,112/18870,4.213630203246489e-05,0.0004834098826581687,0.00031730170761289355,ITIH1/ITIH2/ITIH5/PGLYRP2,4,,
2,GO:0048259,GO:0048259,regulation of receptor-mediated endocytosis,4/33,115/18870,4.6729772725867227e-05,0.0005302813339761454,0.0003480673002807731,APOC1/APOC2/APOC3/CLU,4,,
2,GO:0006022,GO:0006022,aminoglycan metabolic process,4/33,121/18870,5.700156613281483e-05,0.0006398885488457923,0.00042001153992600405,ITIH1/ITIH2/ITIH5/PGLYRP2,4,,
2,GO:0016485,GO:0016485,protein processing,5/33,245/18870,6.2458562349566e-05,0.0006936887137547543,0.0004553250178003077,CPN1/F7/F9/GSN/SERPINF2,5,,
2,GO:0006898,GO:0006898,receptor-mediated endocytosis,5/33,258/18870,7.975579608095651e-05,0.000859710791828199,0.0005642989770923145,APOC1/APOC2/APOC3/APOE/CLU,5,,
2,GO:0006953,GO:0006953,acute-phase response,3/33,48/18870,7.987734368518706e-05,0.000859710791828199,0.0005642989770923145,F2/FN1/SERPINF2,3,,
2,GO:0032369,GO:0032369,negative regulation of lipid transport,3/33,48/18870,7.987734368518706e-05,0.000859710791828199,0.0005642989770923145,APOC1/APOC2/APOC3,3,,
2,GO:0045834,GO:0045834,positive regulation of lipid metabolic process,4/33,145/18870,0.0001150892430903582,0.001226052752921775,0.0008047593689776927,APOC2/APOE/F2/GPLD1,4,,
2,GO:0042304,GO:0042304,regulation of fatty acid biosynthetic process,3/33,55/18870,0.00012015393989748726,0.0012670779116462291,0.0008316875584610762,APOC1/APOC2/APOC3,3,,
2,GO:0015748,GO:0015748,organophosphate ester transport,4/33,152/18870,0.00013805173285010288,0.001441260090955074,0.0009460176640570208,APOC1/APOC2/APOC3/APOE,4,,
2,GO:0010982,GO:0010982,regulation of high-density lipoprotein particle clearance,2/33,11/18870,0.00016151910132999672,0.0016695637800843227,0.0010958721726506292,APOC3/GPLD1,2,,
2,GO:0090303,GO:0090303,positive regulation of wound healing,3/33,62/18870,0.00017177441271498762,0.0017581616360239907,0.001154026240221434,F2/F7/SERPINF2,3,,
2,GO:0034379,GO:0034379,very-low-density lipoprotein particle assembly,2/33,12/18870,0.0001936108081220203,0.001962424113392128,0.0012881005220994914,APOC1/APOC3,2,,
2,GO:1905953,GO:1905953,negative regulation of lipid localization,3/33,66/18870,0.0002068496733493553,0.002076452490160836,0.0013629467343160963,APOC1/APOC2/APOC3,3,,
2,GO:0051055,GO:0051055,negative regulation of lipid biosynthetic process,3/33,68/18870,0.00022600148064421587,0.0022094364610701464,0.0014502350636788318,APOC1/APOC3/APOE,3,,
2,GO:0034380,GO:0034380,high-density lipoprotein particle assembly,2/33,13/18870,0.00022856239252449793,0.0022094364610701464,0.0014502350636788318,APOE/LCAT,2,,
2,GO:0051918,GO:0051918,negative regulation of fibrinolysis,2/33,13/18870,0.00022856239252449793,0.0022094364610701464,0.0014502350636788318,F2/SERPINF2,2,,
2,GO:1905907,GO:1905907,negative regulation of amyloid fibril formation,2/33,13/18870,0.00022856239252449793,0.0022094364610701464,0.0014502350636788318,APOE/CLU,2,,
2,GO:1902905,GO:1902905,positive regulation of supramolecular fiber organization,4/33,175/18870,0.00023704563394399104,0.002270418732454373,0.0014902627493726527,APOE/CLU/GSN/SERPINF2,4,,
2,GO:0016042,GO:0016042,lipid catabolic process,5/33,334/18870,0.00026626935353712603,0.002527138228115996,0.001658768891413101,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0062012,GO:0062012,regulation of small molecule metabolic process,5/33,337/18870,0.0002774843731893787,0.002609853023510913,0.0017130614219657237,APOC1/APOC2/APOC3/APOE/GPLD1,5,,
2,GO:0045806,GO:0045806,negative regulation of endocytosis,3/33,75/18870,0.00030198219149583965,0.002814905427871934,0.0018476541979679665,APOC1/APOC2/APOC3,3,,
2,GO:1903036,GO:1903036,positive regulation of response to wounding,3/33,77/18870,0.00032636043209012565,0.0030152238150627534,0.001979139648725401,F2/F7/SERPINF2,3,,
2,GO:0060191,GO:0060191,regulation of lipase activity,3/33,78/18870,0.0003390112296567936,0.0031046291558043198,0.0020378237350560722,APOC1/APOC2/APOC3,3,,
2,GO:0051044,GO:0051044,positive regulation of membrane protein ectodomain proteolysis,2/33,16/18870,0.00035048159971899374,0.003181763392231561,0.002088453285282059,APOE/GPLD1,2,,
2,GO:0010544,GO:0010544,negative regulation of platelet activation,2/33,17/18870,0.0003967779963270409,0.003480976707272527,0.002284851619716087,APOE/F2,2,,
2,GO:0032488,GO:0032488,Cdc42 protein signal transduction,2/33,17/18870,0.0003967779963270409,0.003480976707272527,0.002284851619716087,APOC3/APOE,2,,
2,GO:0060192,GO:0060192,negative regulation of lipase activity,2/33,17/18870,0.0003967779963270409,0.003480976707272527,0.002284851619716087,APOC1/APOC3,2,,
2,GO:1905906,GO:1905906,regulation of amyloid fibril formation,2/33,17/18870,0.0003967779963270409,0.003480976707272527,0.002284851619716087,APOE/CLU,2,,
2,GO:0051917,GO:0051917,regulation of fibrinolysis,2/33,18/18870,0.00044588703470376954,0.003879217201922795,0.0025462496455452106,F2/SERPINF2,2,,
2,GO:0006644,GO:0006644,phospholipid metabolic process,5/33,375/18870,0.0004529841701440883,0.0039083923440531255,0.002565399693464998,APOC1/APOC2/GPLD1/LCAT/PON1,5,,
2,GO:0046889,GO:0046889,positive regulation of lipid biosynthetic process,3/33,90/18870,0.00051609649942389,0.004416432339332305,0.002898868171915034,APOC2/APOE/GPLD1,3,,
2,GO:0031640,GO:0031640,killing of cells of another organism,3/33,92/18870,0.0005503696861255681,0.004577903060582948,0.003004854700987597,APOL1/CAMP/F2,3,,
2,GO:0141061,GO:0141061,disruption of cell in another organism,3/33,92/18870,0.0005503696861255681,0.004577903060582948,0.003004854700987597,APOL1/CAMP/F2,3,,
2,GO:1903510,GO:1903510,mucopolysaccharide metabolic process,3/33,92/18870,0.0005503696861255681,0.004577903060582948,0.003004854700987597,ITIH1/ITIH2/ITIH5,3,,
2,GO:1900221,GO:1900221,regulation of amyloid-beta clearance,2/33,20/18870,0.0005525055417944936,0.004577903060582948,0.003004854700987597,APOE/CLU,2,,
2,GO:0044242,GO:0044242,cellular lipid catabolic process,4/33,223/18870,0.000593660761538879,0.004842045586301482,0.0031782331888306767,APOC1/APOC2/APOC3/GPLD1,4,,
2,GO:0050866,GO:0050866,negative regulation of cell activation,4/33,223/18870,0.000593660761538879,0.004842045586301482,0.0031782331888306767,APOE/F2/FN1/PGLYRP2,4,,
2,GO:0090208,GO:0090208,positive regulation of triglyceride metabolic process,2/33,22/18870,0.000670262355703137,0.005424448832202132,0.0035605123913728456,APOC2/GPLD1,2,,
2,GO:0141060,GO:0141060,disruption of anatomical structure in another organism,3/33,99/18870,0.0006817122817508281,0.005474674016522034,0.003593479315139993,APOL1/CAMP/F2,3,,
2,GO:0019217,GO:0019217,regulation of fatty acid metabolic process,3/33,100/18870,0.000701961167470627,0.005594255410987287,0.003671970430079375,APOC1/APOC2/APOC3,3,,
2,GO:0051043,GO:0051043,regulation of membrane protein ectodomain proteolysis,2/33,24/18870,0.0007990830695469573,0.006320020640962299,0.0041483499064997546,APOE/GPLD1,2,,
2,GO:0002526,GO:0002526,acute inflammatory response,3/33,107/18870,0.0008545102446646988,0.006707584176165004,0.004402739764754404,F2/FN1/SERPINF2,3,,
2,GO:0032967,GO:0032967,positive regulation of collagen biosynthetic process,2/33,26/18870,0.0009388936333755515,0.007260777431437599,0.004765846045438472,F2/SERPINF2,2,,
2,GO:0045717,GO:0045717,negative regulation of fatty acid biosynthetic process,2/33,26/18870,0.0009388936333755515,0.007260777431437599,0.004765846045438472,APOC1/APOC3,2,,
2,GO:1905954,GO:1905954,positive regulation of lipid localization,3/33,111/18870,0.0009504211884526036,0.007295880299592045,0.004788886948008088,APOC4/APOE/PON1,3,,
2,GO:0010714,GO:0010714,positive regulation of collagen metabolic process,2/33,27/18870,0.0010128970656620728,0.0076076585363395975,0.0049935326750928394,F2/SERPINF2,2,,
2,GO:0010875,GO:0010875,positive regulation of cholesterol efflux,2/33,27/18870,0.0010128970656620728,0.0076076585363395975,0.0049935326750928394,APOE/PON1,2,,
2,GO:0042730,GO:0042730,fibrinolysis,2/33,27/18870,0.0010128970656620728,0.0076076585363395975,0.0049935326750928394,F2/SERPINF2,2,,
2,GO:0006959,GO:0006959,humoral immune response,4/33,258/18870,0.0010226753035124203,0.007626235834764049,0.0050057264856134265,CAMP/CLU/COLEC11/F2,4,,
2,GO:0062014,GO:0062014,negative regulation of small molecule metabolic process,3/33,115/18870,0.0010529094870588927,0.007796010670138184,0.005117163688505706,APOC1/APOC3/APOE,3,,
2,GO:1902430,GO:1902430,negative regulation of amyloid-beta formation,2/33,29/18870,0.0011690543379902787,0.008595019217336979,0.005641618784519433,APOE/CLU,2,,
2,GO:0070723,GO:0070723,response to cholesterol,2/33,30/18870,0.0012511898870477183,0.009134561133411314,0.005995764567302648,F7/GPLD1,2,,
2,GO:0003014,GO:0003014,renal system process,3/33,126/18870,0.0013700543190173892,0.009932893812876072,0.006519776035674857,GSN/PON3/SERPINF2,3,,
2,GO:1902992,GO:1902992,negative regulation of amyloid precursor protein catabolic process,2/33,32/18870,0.0014235292484721435,0.010249410588999433,0.006727532056300294,APOE/CLU,2,,
2,GO:0019730,GO:0019730,antimicrobial humoral response,3/33,133/18870,0.0016000104049875585,0.011441170293198705,0.00750978207387816,CAMP/COLEC11/F2,3,,
2,GO:0036314,GO:0036314,response to sterol,2/33,35/18870,0.0017020729189401306,0.012006514374145245,0.00788086394189207,F7/GPLD1,2,,
2,GO:1903725,GO:1903725,regulation of phospholipid metabolic process,2/33,35/18870,0.0017020729189401306,0.012006514374145245,0.00788086394189207,APOC1/APOC2,2,,
2,GO:0006650,GO:0006650,glycerophospholipid metabolic process,4/33,298/18870,0.0017385010473604083,0.012181175123787021,0.007995508172600677,APOC1/GPLD1/LCAT/PON1,4,,
2,GO:0032373,GO:0032373,positive regulation of sterol transport,2/33,38/18870,0.002004441673618627,0.013700984986886124,0.008993084519522956,APOE/PON1,2,,
2,GO:0032376,GO:0032376,positive regulation of cholesterol transport,2/33,38/18870,0.002004441673618627,0.013700984986886124,0.008993084519522956,APOE/PON1,2,,
2,GO:0032965,GO:0032965,regulation of collagen biosynthetic process,2/33,38/18870,0.002004441673618627,0.013700984986886124,0.008993084519522956,F2/SERPINF2,2,,
2,GO:0010565,GO:0010565,regulation of cellular ketone metabolic process,3/33,144/18870,0.00200790297221607,0.013700984986886124,0.008993084519522956,APOC1/APOC2/APOC3,3,,
2,GO:0046434,GO:0046434,organophosphate catabolic process,3/33,146/18870,0.0020883753402222206,0.014157557501246741,0.00929277065266347,APOC1/APOC2/PON1,3,,
2,GO:0097242,GO:0097242,amyloid-beta clearance,2/33,39/18870,0.0021104838584571424,0.01421512998857585,0.00933056021633684,APOE/CLU,2,,
