Exp,Sample type,ACTB_large_than_C8G,ACTB_large_than_MST1,ACTB_large_than_RPRD1B,ACTN1_large_than_ENO1,AHNAK_large_than_BLMH,AHNAK_large_than_CAMP,AHNAK_large_than_LAMB1,AHNAK_large_than_PKM,ALDOA_large_than_THBS1,APOD_large_than_FN1,BLMH_large_than_CAMP,BLMH_large_than_PKM,C1R_large_than_C2,C5_large_than_C7,C6_large_than_C8G,CFL1_large_than_ICAM1,CFL1_large_than_LDHB,CLIC1_large_than_LAMB1,ENO1_large_than_GDI2,ENO1_large_than_HNF4A,ENO1_large_than_ICAM1,ENO1_large_than_LDHB,FBLN1_large_than_PSMC1,FN1_large_than_PROS1,GDI2_large_than_TAGLN2,GSTO1_large_than_LCP1,GSTO1_large_than_MYH9,GSTO1_large_than_TGFBI,HNF4A_large_than_PKM,HSPA8_large_than_PKM,ICAM1_large_than_MYH9,ICAM1_large_than_TPM4,LCP1_large_than_TPM4,LDHB_large_than_TAGLN2,MPO_large_than_TIMP1,MST1_large_than_PSMC1,MST1_large_than_YWHAZ,MYH9_large_than_TGFBI,PCBP2_large_than_SERPINF1,PKM_large_than_S100A8,TFRC_large_than_YWHAZ
Exp042243,normal,-1,-1,-1,1,-1,0,1,1,1,-1,0,1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,1,0,-1,-1,-1,0,-1,-1,1,1,1,1,-1,1,-1,1,1,1
Exp042244,normal,-1,1,-1,0,1,0,1,0,1,-1,0,0,-1,1,1,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,-1,-1,0,0,-1,1,1,1,1,1,1,-1,1,0,1
Exp042196,normal,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1
Exp042192,normal,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,0,-1,1,-1,1,1,-1
Exp042193,normal,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1
Exp042194,normal,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,0,-1,-1,-1,1,-1,-1
Exp042195,normal,-1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1
Exp042174,normal,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,0,0,1,-1,1,1,-1,-1,-1,1
Exp042175,normal,-1,-1,-1,1,0,0,0,0,0,-1,1,-1,-1,1,1,0,0,0,0,-1,-1,-1,0,1,0,-1,1,-1,-1,-1,1,0,0,1,1,0,0,-1,-1,1,0
Exp042176,normal,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,1,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,0,1,0,0,0,1,-1,-1,-1,-1,1,-1
Exp042177,normal,1,1,-1,1,1,0,-1,-1,1,1,0,-1,-1,1,1,-1,-1,0,0,-1,-1,-1,-1,1,0,1,1,-1,1,1,1,0,0,-1,-1,-1,1,-1,-1,1,1
Exp042178,normal,-1,-1,-1,0,1,1,1,-1,1,-1,1,-1,-1,1,1,0,0,-1,0,0,0,0,1,1,0,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,1
Exp042179,normal,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,0,0,0,-1,1,1,1,0,1,-1,1,1,1,1,0,1,1,1,-1,1,0,1,-1,-1,-1,1
Exp042180,normal,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1,0,0,-1,1,0,1,-1,-1,1,1
Exp042181,normal,-1,-1,-1,0,1,1,1,1,-1,-1,1,1,-1,1,1,0,0,0,0,-1,-1,-1,0,1,0,-1,-1,-1,1,1,1,0,0,-1,-1,0,-1,-1,-1,-1,-1
Exp042182,normal,-1,-1,-1,1,1,1,1,0,1,-1,1,0,-1,1,1,-1,-1,0,1,1,-1,1,0,1,-1,0,0,0,0,0,1,-1,-1,1,-1,0,1,-1,-1,0,-1
Exp042183,normal,-1,-1,-1,1,1,0,1,1,1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1
Exp042184,normal,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,-1,-1,1,1,-1,-1,0,0,-1,-1,-1,0,1,0,0,0,0,-1,-1,1,1,-1,1,-1,0,-1,-1,1,0,1
Exp042185,normal,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1,-1,1,-1
Exp042186,normal,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1
Exp042187,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,0,1,-1,-1,1,1
Exp042188,normal,0,0,0,0,1,1,0,1,0,-1,-1,-1,-1,1,1,-1,1,0,0,0,0,0,0,1,-1,0,0,0,1,1,-1,0,0,-1,1,0,1,-1,-1,0,1
Exp042189,normal,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,0,-1,-1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1
Exp042191,normal,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,0,1,-1,-1,-1,1
Exp042173,normal,-1,-1,-1,0,-1,1,1,-1,1,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,1,1,1,1,0,0,1,-1,-1,1,1
Exp042259,normal,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,0,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1
Exp042190,normal,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1
Exp070568,normal,0,0,0,-1,1,1,1,0,1,-1,-1,0,-1,1,1,0,0,0,0,-1,-1,-1,0,1,0,1,1,-1,0,0,1,0,0,1,1,0,1,-1,-1,0,1
Exp070502,normal,-1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,0,-1,0,-1,-1,-1,1,1,-1,1,1,1,1,0,1,1,-1,0,1
Exp070513,normal,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1
Exp070531,normal,-1,-1,-1,1,1,0,1,1,1,-1,0,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1
Exp070521,normal,-1,1,-1,-1,1,1,0,1,-1,-1,1,1,-1,1,1,-1,-1,0,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1
Exp070589,normal,-1,-1,-1,1,0,0,0,0,1,-1,0,0,-1,1,1,-1,-1,0,0,-1,-1,-1,1,1,0,0,0,0,1,-1,1,1,1,1,1,1,1,-1,1,0,1
Exp070528,normal,-1,-1,-1,-1,0,0,0,0,-1,1,1,1,-1,1,1,-1,-1,0,0,-1,-1,-1,1,1,0,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1
Exp070571,normal,-1,-1,-1,1,1,1,0,-1,1,-1,1,-1,-1,1,1,0,0,0,0,1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1
Exp070517,normal,-1,-1,-1,0,1,1,0,0,-1,-1,-1,0,-1,1,1,0,0,0,0,-1,-1,-1,1,1,0,-1,1,1,0,0,1,0,0,1,1,1,1,-1,-1,0,1
